cohort,seed,cell_type,rank,gene
HCC,0,B_cell,1,MIR339
HCC,0,B_cell,2,RP11-1134I14.6
HCC,0,B_cell,3,RP11-299L17.1
HCC,0,B_cell,4,LA16c-329F2.1
HCC,0,B_cell,5,IGLV4-60
HCC,0,B_cell,6,IGLV7-43
HCC,0,B_cell,7,MIR5195
HCC,0,B_cell,8,IGHV5-78
HCC,0,B_cell,9,IGLVI-68
HCC,0,B_cell,10,RPS3AP7
HCC,0,B_cell,11,AC104024.1
HCC,0,B_cell,12,LL22NC03-30E12.13
HCC,0,B_cell,13,ENSG10010139551.1
HCC,0,B_cell,14,IGLV1-44
HCC,0,B_cell,15,IGKV2OR2-1
HCC,0,B_cell,16,TAL2
HCC,0,B_cell,17,RP11-534L6.2
HCC,0,B_cell,18,BNIP3P41
HCC,0,B_cell,19,MIR378I
HCC,0,B_cell,20,RNU6-354P
HCC,0,B_cell,21,RPL31P50
HCC,0,B_cell,22,RP11-136K14.2
HCC,0,B_cell,23,RP11-379K17.2
HCC,0,B_cell,24,XXYLT1-AS1
HCC,0,B_cell,25,ZFAT-AS1
HCC,0,B_cell,26,TNFRSF17
HCC,0,B_cell,27,RP5-1022E24.7
HCC,0,B_cell,28,IGLV4-69
HCC,0,B_cell,29,IGKV2D-36
HCC,0,B_cell,30,IGLV7-46
HCC,0,B_cell,31,MYOCD-AS1
HCC,0,B_cell,32,CYP4A43P
HCC,0,B_cell,33,DTNB-AS1
HCC,0,B_cell,34,PTMAP12
HCC,0,B_cell,35,MIR6751
HCC,0,B_cell,36,TRBV29-1
HCC,0,B_cell,37,RP11-794P6.1
HCC,0,B_cell,38,AL590762.10
HCC,0,B_cell,39,RP11-772F18.1
HCC,0,B_cell,40,FCRLA
HCC,0,B_cell,41,KRT18P50
HCC,0,B_cell,42,RP11-371A22.1
HCC,0,B_cell,43,MIR3654
HCC,0,B_cell,44,RP11-109G23.1
HCC,0,B_cell,45,RP11-338K17.6
HCC,0,B_cell,46,U62631.5
HCC,0,B_cell,47,VPREB3
HCC,0,B_cell,48,C15orf62
HCC,0,B_cell,49,RSL24D1P11
HCC,0,B_cell,50,VDAC1P9
HCC,0,B_cell,51,LL22NC01-132D12.4
HCC,0,B_cell,52,RNU4-38P
HCC,0,B_cell,53,RP11-598O12.1
HCC,0,B_cell,54,RP11-1180F24.1
HCC,0,B_cell,55,CNR1
HCC,0,B_cell,56,AC005838.2
HCC,0,B_cell,57,RP11-187D20.1
HCC,0,B_cell,58,CTD-2227C6.2
HCC,0,B_cell,59,RP11-309L24.10
HCC,0,B_cell,60,RP11-505E24.4
HCC,0,B_cell,61,RP11-301L8.2
HCC,0,B_cell,62,RP11-255E6.7
HCC,0,B_cell,63,SDCBPP3
HCC,0,B_cell,64,IGHA1
HCC,0,B_cell,65,LINC02397
HCC,0,B_cell,66,LINC00400
HCC,0,B_cell,67,RP5-1042K10.13
HCC,0,B_cell,68,RP11-297B17.3
HCC,0,B_cell,69,AC005105.2
HCC,0,B_cell,70,AF238378.7
HCC,0,B_cell,71,RN7SKP141
HCC,0,B_cell,72,LL22NC03-22A12.12
HCC,0,B_cell,73,LINC00494
HCC,0,B_cell,74,MTCO2P32
HCC,0,B_cell,75,RP11-158L12.5
HCC,0,B_cell,76,MIR3674
HCC,0,B_cell,77,RNU6-266P
HCC,0,B_cell,78,MIR6836
HCC,0,B_cell,79,ENSG00000263963
HCC,0,B_cell,80,OR6L2P
HCC,0,B_cell,81,CH17-84K15.2
HCC,0,B_cell,82,RN7SL328P
HCC,0,B_cell,83,MS4A1
HCC,0,B_cell,84,RNY1P5
HCC,0,B_cell,85,RN7SL817P
HCC,0,B_cell,86,RP4-697K14.15
HCC,0,B_cell,87,PPIAP40
HCC,0,B_cell,88,IGLVI-42
HCC,0,B_cell,89,RP11-468E2.10
HCC,0,B_cell,90,PNOC
HCC,0,B_cell,91,IGKV1-13
HCC,0,B_cell,92,RP11-507K2.6
HCC,0,B_cell,93,HNRNPKP2
HCC,0,B_cell,94,RP11-1399P15.1
HCC,0,B_cell,95,BLK
HCC,0,B_cell,96,RP11-274J15.4
HCC,0,B_cell,97,LA16c-2F2.5
HCC,0,B_cell,98,MIR6858
HCC,0,B_cell,99,RNU6-1254P
HCC,0,B_cell,100,ENSG10010140115.1
HCC,0,B_cell,101,LL22NC03-23C6.12
HCC,0,B_cell,102,RN7SL555P
HCC,0,B_cell,103,RN7SL692P
HCC,0,B_cell,104,IGHA2
HCC,0,B_cell,105,CTB-92J24.2
HCC,0,B_cell,106,IGLVI-70
HCC,0,B_cell,107,MTND5P11
HCC,0,B_cell,108,RP11-474P2.6
HCC,0,B_cell,109,RP11-90P16.1
HCC,0,B_cell,110,RN7SL388P
HCC,0,B_cell,111,RP3-410C9.2
