cohort,mixture_variant,geneset,method,truth,rmse_mean,rmse_sd,r_mean,r_sd,bias_deepest_mean,bias_deepest_sd,deepest_type,n_genes_mean,n_degenerate
COAD,cellnorm,common,cpm_mean,cellfrac,0.06449891636597126,0.0035991172538058,0.8443696867964107,0.016641803271139812,0.03836645777455732,0.031024509733903097,Mast,1600.0,0
COAD,cellnorm,common,cpm_mean,fragfrac,0.14657851134038882,0.01124388269086373,0.5744705062033402,0.05954321234385036,-0.24877342733598917,0.032850564321569645,Mast,1600.0,0
COAD,cellnorm,common,depth_matched,cellfrac,0.06530093086307563,0.005185237704180131,0.8462992134436075,0.020643107866841648,0.0065885471971974564,0.024893938363296814,Mast,1600.0,0
COAD,cellnorm,common,depth_matched,fragfrac,0.15996146086353244,0.010101028066602374,0.483200986288608,0.0354751474949526,-0.28055133791334896,0.031169465663400318,Mast,1600.0,0
COAD,cellnorm,common,lognorm_mean,cellfrac,0.10179698085463162,0.00475934720244767,0.7354700309567584,0.025529245673895754,-0.10100049341409563,0.01209776373489275,Mast,1600.0,0
COAD,cellnorm,common,lognorm_mean,fragfrac,0.22280851658914513,0.00767706739556488,0.08720471672001869,0.006482552757854851,-0.38814037852464206,0.02267247173218903,Mast,1600.0,0
COAD,cellnorm,common,lognorm_mean_expm1,cellfrac,0.09885839569202652,0.002864974167337956,0.7142102427845879,0.011505844031660124,-0.08746017032373526,0.007912146778839205,Mast,1600.0,0
COAD,cellnorm,common,lognorm_mean_expm1,fragfrac,0.21575579496213346,0.0051367189223073114,0.09688548910146551,0.01822911475328467,-0.3746000554342817,0.0184137143594178,Mast,1600.0,0
COAD,cellnorm,common,pseudobulk_cpm,cellfrac,0.11343681918092034,0.0039797004579854075,0.7069849794736633,0.008645362968666108,-0.10313019336938965,0.01288929603396379,Mast,1600.0,0
COAD,cellnorm,common,pseudobulk_cpm,fragfrac,0.21523797154107605,0.006115110501388484,0.1953734758603846,0.030117482064439708,-0.39027007847993617,0.0236351502531251,Mast,1600.0,0
COAD,cellnorm,common,raw_mean,cellfrac,0.16365174030112206,0.00552864722908965,0.5017481024348637,0.04292601669183624,-0.12967432129698317,0.020220180494479295,Mast,1600.0,0
COAD,cellnorm,common,raw_mean,fragfrac,0.2775961076757711,0.01138216990040339,-0.14765432610990412,0.04304469086119605,-0.4168142064075297,0.02945539484548026,Mast,1600.0,0
COAD,cellnorm,common,zscale_mean,cellfrac,0.14406854803279434,0.00861310606383811,0.49825177107093044,0.06319548994948931,0.18016763738868433,0.019073340679393536,Mast,1600.0,0
COAD,cellnorm,common,zscale_mean,fragfrac,0.15768653197188456,0.008692592176136377,0.5754996495200669,0.025409178833302827,-0.1069722477218622,0.02707473975493569,Mast,1600.0,0
COAD,cellnorm,own,cpm_mean,cellfrac,0.06449891636597126,0.0035991172538058,0.8443696867964107,0.016641803271139812,0.03836645777455732,0.031024509733903097,Mast,1600.0,0
COAD,cellnorm,own,cpm_mean,fragfrac,0.14657851134038882,0.01124388269086373,0.5744705062033402,0.05954321234385036,-0.24877342733598917,0.032850564321569645,Mast,1600.0,0
COAD,cellnorm,own,depth_matched,cellfrac,0.07507193327759454,0.005986007298710665,0.8030383601980319,0.016693424050050525,0.033927362454289754,0.02479235233967139,Mast,1600.0,0
COAD,cellnorm,own,depth_matched,fragfrac,0.15542805479091948,0.009164518102081014,0.5216287887661493,0.042687734247395415,-0.25321252265625666,0.024541550799073223,Mast,1600.0,0
COAD,cellnorm,own,lognorm_mean,cellfrac,0.10278471895056712,0.006343590551052079,0.7315887175614811,0.02684895455839843,-0.09241414170291297,0.010481798741765153,Mast,1600.0,0
COAD,cellnorm,own,lognorm_mean,fragfrac,0.2247072781959173,0.009562307455723406,0.07337258769086098,0.008297255111707584,-0.37955402681345946,0.0204671474522519,Mast,1600.0,0
COAD,cellnorm,own,lognorm_mean_expm1,cellfrac,0.09673546197253126,0.003974524902575273,0.7261765819293391,0.01078815651651171,-0.07954217169899436,0.005702458562982868,Mast,1600.0,0
COAD,cellnorm,own,lognorm_mean_expm1,fragfrac,0.21585274802609766,0.0075086216931617095,0.09211917694283987,0.029277945320804542,-0.36668205680954086,0.012052820421523832,Mast,1600.0,0
COAD,cellnorm,own,pseudobulk_cpm,cellfrac,0.11608016798474093,0.00578103943126498,0.6950470584977859,0.016708296185835234,-0.046023779102508024,0.00705885354866881,Mast,1600.0,0
COAD,cellnorm,own,pseudobulk_cpm,fragfrac,0.21634795479114668,0.0005374124565742211,0.19182615876510042,0.026177680486286638,-0.3331636642130545,0.0040539558209853055,Mast,1600.0,0
COAD,cellnorm,own,raw_mean,cellfrac,0.1829233688392264,0.0065322760388653615,0.43832167921173704,0.04289659782291824,-0.1268617147063016,0.0192184802066972,Mast,1543.0,0
COAD,cellnorm,own,raw_mean,fragfrac,0.29315631846206847,0.01043044246639362,-0.18680639923626483,0.023343563243963944,-0.4140015998168481,0.028194652089265644,Mast,1543.0,0
COAD,cellnorm,own,zscale_mean,cellfrac,0.19074876755007986,0.007401125806393192,0.15969798869752186,0.06140243283587872,0.20340566014629846,0.021026036514886624,Mast,1313.6666666666667,0
COAD,cellnorm,own,zscale_mean,fragfrac,0.1682987846984654,0.0049430461940603776,0.5423762095433992,0.025010271513362128,-0.08373422496424794,0.02361547754934443,Mast,1313.6666666666667,0
COAD,rawsum,common,cpm_mean,cellfrac,0.1652736250015201,0.015187700581762734,0.20417914093258935,0.04807890669258562,0.22387922490005938,0.11300924435036142,Mast,1600.0,0
COAD,rawsum,common,cpm_mean,fragfrac,0.15010209753781986,0.02643557622115219,0.5843483698673219,0.11879153437489776,-0.06326066021048705,0.11845911008534504,Mast,1600.0,0
COAD,rawsum,common,depth_matched,cellfrac,0.15805472031102133,0.01185499776554753,0.22397925538655597,0.0417236453658502,0.17397242712252803,0.08770093239836206,Mast,1600.0,0
