cohort,seed,geneset,method,n_genes,overlap_with_common
HCC,0,own,raw_mean,1200,637
HCC,0,own,zscale_mean,1200,450
HCC,0,own,lognorm_mean,1200,950
HCC,0,own,lognorm_mean_expm1,1200,950
HCC,0,own,pseudobulk_cpm,1200,776
HCC,0,own,depth_matched,1200,770
HCC,0,own,cpm_mean,1200,1200
HCC,0,common,cpm_mean(all),1200,1200
HCC,1,own,raw_mean,1200,604
HCC,1,own,zscale_mean,1200,454
HCC,1,own,lognorm_mean,1200,951
HCC,1,own,lognorm_mean_expm1,1200,946
HCC,1,own,pseudobulk_cpm,1200,744
HCC,1,own,depth_matched,1200,772
HCC,1,own,cpm_mean,1200,1200
HCC,1,common,cpm_mean(all),1200,1200
HCC,2,own,raw_mean,1200,624
HCC,2,own,zscale_mean,1200,474
HCC,2,own,lognorm_mean,1200,928
HCC,2,own,lognorm_mean_expm1,1200,929
HCC,2,own,pseudobulk_cpm,1200,746
HCC,2,own,depth_matched,1200,757
HCC,2,own,cpm_mean,1200,1200
HCC,2,common,cpm_mean(all),1200,1200
COAD,0,own,raw_mean,1545,220
COAD,0,own,zscale_mean,1310,137
COAD,0,own,lognorm_mean,1600,589
COAD,0,own,lognorm_mean_expm1,1600,591
COAD,0,own,pseudobulk_cpm,1600,257
COAD,0,own,depth_matched,1600,519
COAD,0,own,cpm_mean,1600,1600
COAD,0,common,cpm_mean(all),1600,1600
COAD,1,own,raw_mean,1540,233
COAD,1,own,zscale_mean,1302,147
COAD,1,own,lognorm_mean,1600,592
COAD,1,own,lognorm_mean_expm1,1600,598
COAD,1,own,pseudobulk_cpm,1600,263
COAD,1,own,depth_matched,1600,499
COAD,1,own,cpm_mean,1600,1600
COAD,1,common,cpm_mean(all),1600,1600
COAD,2,own,raw_mean,1544,203
COAD,2,own,zscale_mean,1329,123
COAD,2,own,lognorm_mean,1600,574
COAD,2,own,lognorm_mean_expm1,1600,577
COAD,2,own,pseudobulk_cpm,1600,255
COAD,2,own,depth_matched,1600,513
COAD,2,own,cpm_mean,1600,1600
COAD,2,common,cpm_mean(all),1600,1600
LUAD,0,own,raw_mean,1184,654
LUAD,0,own,zscale_mean,1200,472
LUAD,0,own,lognorm_mean,1199,858
LUAD,0,own,lognorm_mean_expm1,1200,867
LUAD,0,own,pseudobulk_cpm,1200,701
LUAD,0,own,depth_matched,1200,796
LUAD,0,own,cpm_mean,1200,1200
LUAD,0,common,cpm_mean(all),1200,1200
LUAD,1,own,raw_mean,1194,647
LUAD,1,own,zscale_mean,1200,462
LUAD,1,own,lognorm_mean,1200,845
LUAD,1,own,lognorm_mean_expm1,1200,837
LUAD,1,own,pseudobulk_cpm,1200,660
LUAD,1,own,depth_matched,1200,797
LUAD,1,own,cpm_mean,1200,1200
LUAD,1,common,cpm_mean(all),1200,1200
LUAD,2,own,raw_mean,1188,651
LUAD,2,own,zscale_mean,1200,464
LUAD,2,own,lognorm_mean,1199,854
LUAD,2,own,lognorm_mean_expm1,1200,853
LUAD,2,own,pseudobulk_cpm,1200,678
LUAD,2,own,depth_matched,1200,813
LUAD,2,own,cpm_mean,1200,1200
LUAD,2,common,cpm_mean(all),1200,1200
