cohort,seed,cell_type,n_train,n_test,median_rowsum_train,median_rowsum_test,median_true_depth,deepest_by_true_depth
HCC,0,B_cell,208,208,8663.0,9060.5,8039.5,0
HCC,0,CD4_T,1652,1653,7224.0,7108.0,6643.0,0
HCC,0,Endothelial_stromal,568,569,13351.0,12985.0,13435.0,1
HCC,0,Hepatocyte,707,708,11686.0,11543.0,12522.0,0
HCC,0,Macrophage,1039,1040,8658.0,8404.0,8737.0,0
HCC,0,NK_cytotoxic_T,1838,1839,9172.0,9008.0,7835.0,0
HCC,1,B_cell,208,208,8581.5,9220.0,8039.5,0
HCC,1,CD4_T,1652,1653,7211.0,7105.0,6643.0,0
HCC,1,Endothelial_stromal,568,569,13213.5,13058.0,13435.0,1
HCC,1,Hepatocyte,707,708,11177.0,12125.0,12522.0,0
HCC,1,Macrophage,1039,1040,8525.0,8537.0,8737.0,0
HCC,1,NK_cytotoxic_T,1838,1839,9147.5,9027.0,7835.0,0
HCC,2,B_cell,208,208,8995.5,8806.5,8039.5,0
HCC,2,CD4_T,1652,1653,7071.0,7274.0,6643.0,0
HCC,2,Endothelial_stromal,568,569,13169.0,12985.0,13435.0,1
HCC,2,Hepatocyte,707,708,12019.0,11201.0,12522.0,0
HCC,2,Macrophage,1039,1040,8525.0,8540.5,8737.0,0
HCC,2,NK_cytotoxic_T,1838,1839,9028.0,9152.0,7835.0,0
COAD,0,B_cell,1930,1930,6442.0,6405.0,6151.5,0
COAD,0,Endothelial,358,359,2441.0,2219.0,2353.0,0
COAD,0,Epithelial,5249,5250,4627.0,4628.5,4641.0,0
COAD,0,Fibroblast,7008,7009,434.0,435.0,523.0,0
COAD,0,Macrophage,717,717,471.0,484.0,582.5,0
COAD,0,Mast,2483,2483,19183.0,19042.0,19223.0,1
COAD,0,Other_Myeloid,1073,1073,618.0,571.0,708.5,0
COAD,0,T_NK,879,880,453.0,452.0,552.0,0
COAD,1,B_cell,1930,1930,6023.0,6965.5,6151.5,0
COAD,1,Endothelial,358,359,2820.5,2248.0,2353.0,0
COAD,1,Epithelial,5249,5250,4593.0,4660.0,4641.0,0
COAD,1,Fibroblast,7008,7009,438.0,431.0,523.0,0
COAD,1,Macrophage,717,717,471.0,490.0,582.5,0
COAD,1,Mast,2483,2483,18996.0,19131.0,19223.0,1
COAD,1,Other_Myeloid,1073,1073,598.0,572.0,708.5,0
COAD,1,T_NK,879,880,452.0,453.0,552.0,0
COAD,2,B_cell,1930,1930,6006.0,6771.5,6151.5,0
COAD,2,Endothelial,358,359,2620.5,2151.0,2353.0,0
COAD,2,Epithelial,5249,5250,4692.0,4590.5,4641.0,0
COAD,2,Fibroblast,7008,7009,439.0,430.0,523.0,0
COAD,2,Macrophage,717,717,482.0,478.0,582.5,0
COAD,2,Mast,2483,2483,19333.0,18749.0,19223.0,1
COAD,2,Other_Myeloid,1073,1073,592.0,575.0,708.5,0
COAD,2,T_NK,879,880,450.0,455.5,552.0,0
LUAD,0,B_cell,4742,4742,9024.5,8656.0,9039.5,0
LUAD,0,Endothelial,3895,3895,7238.0,7386.0,7665.0,0
LUAD,0,Epithelial,2827,2827,8629.0,8464.0,8769.5,0
LUAD,0,Fibroblast,5055,5055,3006.0,3000.0,3007.5,0
LUAD,0,Macrophage,4024,4025,6355.5,6011.0,6523.0,0
LUAD,0,T_NK,6110,6111,10590.0,10824.0,10606.0,1
LUAD,1,B_cell,4742,4742,8715.0,8974.0,9039.5,0
LUAD,1,Endothelial,3895,3895,7463.0,7238.0,7665.0,0
LUAD,1,Epithelial,2827,2827,8515.0,8544.0,8769.5,0
LUAD,1,Fibroblast,5055,5055,2985.0,3017.0,3007.5,0
LUAD,1,Macrophage,4024,4025,6211.5,6128.0,6523.0,0
LUAD,1,T_NK,6110,6111,10821.5,10573.0,10606.0,1
LUAD,2,B_cell,4742,4742,8952.0,8782.5,9039.5,0
LUAD,2,Endothelial,3895,3895,7188.0,7523.0,7665.0,0
LUAD,2,Epithelial,2827,2827,8190.0,8906.0,8769.5,0
LUAD,2,Fibroblast,5055,5055,3029.0,2975.0,3007.5,0
LUAD,2,Macrophage,4024,4025,6241.0,6120.0,6523.0,0
LUAD,2,T_NK,6110,6111,10808.0,10603.0,10606.0,1
