cohort,target_depth,spread,deep_type,seed,method,gene,target,argmax,correct
LUAD,2818.2000000000007,natural,none,-1,raw_mean,CD163,Macrophage,Macrophage,1
LUAD,2818.2000000000007,natural,none,-1,raw_mean,C1QA,Macrophage,Macrophage,1
LUAD,2818.2000000000007,natural,none,-1,raw_mean,C1QB,Macrophage,Macrophage,1
LUAD,2818.2000000000007,natural,none,-1,raw_mean,CD14,Macrophage,Macrophage,1
LUAD,2818.2000000000007,natural,none,-1,raw_mean,MS4A7,Macrophage,B_cell,0
LUAD,2818.2000000000007,natural,none,-1,raw_mean,FOLR2,Macrophage,Macrophage,1
LUAD,2818.2000000000007,natural,none,-1,raw_mean,CD22,B_cell,B_cell,1
LUAD,2818.2000000000007,natural,none,-1,raw_mean,FCRL1,B_cell,B_cell,1
LUAD,2818.2000000000007,natural,none,-1,raw_mean,BLK,B_cell,B_cell,1
LUAD,2818.2000000000007,natural,none,-1,raw_mean,TNFRSF13C,B_cell,B_cell,1
LUAD,2818.2000000000007,natural,none,-1,raw_mean,VPREB3,B_cell,B_cell,1
LUAD,2818.2000000000007,natural,none,-1,raw_mean,FCRLA,B_cell,B_cell,1
LUAD,2818.2000000000007,natural,none,-1,raw_mean,CD3G,T_NK,T_NK,1
LUAD,2818.2000000000007,natural,none,-1,raw_mean,CD247,T_NK,T_NK,1
LUAD,2818.2000000000007,natural,none,-1,raw_mean,SKAP1,T_NK,T_NK,1
LUAD,2818.2000000000007,natural,none,-1,raw_mean,CD96,T_NK,T_NK,1
LUAD,2818.2000000000007,natural,none,-1,raw_mean,ITK,T_NK,T_NK,1
LUAD,2818.2000000000007,natural,none,-1,raw_mean,LCK,T_NK,T_NK,1
LUAD,2818.2000000000007,natural,none,-1,raw_mean,KRT19,Epithelial,Epithelial,1
LUAD,2818.2000000000007,natural,none,-1,raw_mean,KRT7,Epithelial,Epithelial,1
LUAD,2818.2000000000007,natural,none,-1,raw_mean,CLDN4,Epithelial,Epithelial,1
LUAD,2818.2000000000007,natural,none,-1,raw_mean,ELF3,Epithelial,Epithelial,1
LUAD,2818.2000000000007,natural,none,-1,raw_mean,SFTPB,Epithelial,Epithelial,1
LUAD,2818.2000000000007,natural,none,-1,raw_mean,NAPSA,Epithelial,T_NK,0
LUAD,2818.2000000000007,natural,none,-1,raw_mean,CLDN5,Endothelial,B_cell,0
LUAD,2818.2000000000007,natural,none,-1,raw_mean,FLT1,Endothelial,Macrophage,0
LUAD,2818.2000000000007,natural,none,-1,raw_mean,ERG,Endothelial,Endothelial,1
LUAD,2818.2000000000007,natural,none,-1,raw_mean,ENG,Endothelial,Macrophage,0
LUAD,2818.2000000000007,natural,none,-1,raw_mean,TEK,Endothelial,Epithelial,0
LUAD,2818.2000000000007,natural,none,-1,raw_mean,PLVAP,Endothelial,B_cell,0
LUAD,2818.2000000000007,natural,none,-1,raw_mean,COL3A1,Fibroblast,B_cell,0
LUAD,2818.2000000000007,natural,none,-1,raw_mean,PDGFRA,Fibroblast,Epithelial,0
LUAD,2818.2000000000007,natural,none,-1,raw_mean,PDGFRB,Fibroblast,Macrophage,0
LUAD,2818.2000000000007,natural,none,-1,raw_mean,FBLN1,Fibroblast,Epithelial,0
LUAD,2818.2000000000007,natural,none,-1,raw_mean,COL6A3,Fibroblast,B_cell,0
LUAD,2818.2000000000007,natural,none,-1,raw_mean,COL5A1,Fibroblast,T_NK,0
LUAD,2818.2000000000007,natural,none,-1,zscale_mean,CD163,Macrophage,Macrophage,1
LUAD,2818.2000000000007,natural,none,-1,zscale_mean,C1QA,Macrophage,Macrophage,1
LUAD,2818.2000000000007,natural,none,-1,zscale_mean,C1QB,Macrophage,Macrophage,1
LUAD,2818.2000000000007,natural,none,-1,zscale_mean,CD14,Macrophage,Macrophage,1
LUAD,2818.2000000000007,natural,none,-1,zscale_mean,MS4A7,Macrophage,B_cell,0
LUAD,2818.2000000000007,natural,none,-1,zscale_mean,FOLR2,Macrophage,Macrophage,1
LUAD,2818.2000000000007,natural,none,-1,zscale_mean,CD22,B_cell,B_cell,1
LUAD,2818.2000000000007,natural,none,-1,zscale_mean,FCRL1,B_cell,B_cell,1
LUAD,2818.2000000000007,natural,none,-1,zscale_mean,BLK,B_cell,B_cell,1
LUAD,2818.2000000000007,natural,none,-1,zscale_mean,TNFRSF13C,B_cell,B_cell,1
LUAD,2818.2000000000007,natural,none,-1,zscale_mean,VPREB3,B_cell,B_cell,1
LUAD,2818.2000000000007,natural,none,-1,zscale_mean,FCRLA,B_cell,B_cell,1
LUAD,2818.2000000000007,natural,none,-1,zscale_mean,CD3G,T_NK,T_NK,1
