cohort,spread,lognorm_mean_range,cpm_mean_range,raw_mean_range,detection_range,rho_detection_vs_lognormmean,rho_depth_vs_detection,rho_lognormmean_vs_share_lognorm,rho_rawmean_vs_share_raw
HCC,1,1.0356743326750601,1.0000002351054873,1.0714852276109776,1.068147542613627,0.9523809523809526,0.568107255955811,0.0380952380952381,0.6380952380952382
HCC,2,1.311592359563995,1.0000004197983436,2.0420782918785267,1.836243022286635,1.0,1.0,0.5428571428571429,0.7047619047619048
HCC,5,2.0879912894056396,1.0000003167454647,5.100440606957572,4.239061620427677,1.0,1.0,0.7523809523809524,0.8857142857142858
HCC,10,3.170868991850361,1.000000224183574,10.089723364677399,8.105025652461418,1.0,1.0,0.7714285714285715,0.9047619047619048
HCC,20,5.166462947501636,1.0000001936327427,20.45440199213027,16.137500856053467,1.0,1.0,0.9142857142857143,0.9619047619047619
HCC,40,8.590263632914064,1.000000213969494,40.55409458569995,31.71620426965367,1.0,1.0,0.8857142857142858,0.942857142857143
LUAD,1,1.1826387905115978,1.0000008028595462,1.1545781621222615,1.3082477718236725,0.9904761904761905,0.7792622755315813,0.561904761904762,0.028571428571428577
LUAD,2,1.3969347333789486,1.0000015752690845,2.1024068457135416,1.821168358413048,0.9904761904761905,0.9047619047619048,0.8380952380952382,0.8761904761904762
LUAD,5,2.317998784391431,1.000000895688318,5.261741749749746,4.0338388751291285,0.9714285714285715,1.0,0.9142857142857145,0.9333333333333335
LUAD,10,3.679544857701415,1.0000005743090796,10.530882643418758,7.745057414002839,1.0,1.0,0.923809523809524,0.9523809523809524
LUAD,20,5.970418942980614,1.0000007877600277,20.50621922736722,14.752199394468484,1.0,1.0,0.9333333333333335,0.9523809523809524
LUAD,40,10.268875768045273,1.0000006287575032,41.187325947004204,29.345231012350215,1.0,1.0,0.9785541743872415,0.9785541743872415
