cohort,target_depth,spread,deep_type,seed,method,n_cells,n_genes_expressed,realised_spread,top_share,top_type,deep_wins,deep_type_share,shallowest_type,rho_depth_share,p_depth_share,rho_detection_share,markers_correct,markers_total,perm_p,null_mean,per_lineage
HCC,5629.6,natural,none,-1,raw_mean,12029,58450,1.8353122472763064,0.6706415739948675,Endothelial_stromal,,,CD4_T,0.8285714285714287,0.0415626822157433,0.942857142857143,15,22,0.0,4.1585,B_cell 4/5; Hepatocyte 4/5; Macrophage 2/6; NK_cytotoxic_T 5/6
HCC,5629.6,natural,none,-1,zscale_mean,12029,58450,1.8353122472763064,0.653464499572284,Endothelial_stromal,,,CD4_T,0.8285714285714287,0.0415626822157433,0.942857142857143,16,22,0.0,4.283,B_cell 4/5; Hepatocyte 4/5; Macrophage 3/6; NK_cytotoxic_T 5/6
HCC,5629.6,natural,none,-1,lognorm_mean,12029,58450,1.8353122472763064,0.3362360992301112,Hepatocyte,,,CD4_T,0.942857142857143,0.004804664723032,0.8857142857142858,19,22,0.0,5.0585,B_cell 4/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6
HCC,5629.6,natural,none,-1,pseudobulk_cpm,12029,58450,1.8353122472763064,0.316475620188195,Hepatocyte,,,CD4_T,0.7714285714285715,0.0723965014577259,0.7142857142857143,20,22,0.0,5.116,B_cell 5/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6
HCC,5629.6,natural,none,-1,cpm_mean,12029,58450,1.8353122472763064,0.3009751924721984,Hepatocyte,,,CD4_T,0.7142857142857143,0.1107871720116617,0.7714285714285715,19,22,0.0,5.032,B_cell 4/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6
HCC,5629.6,1,B_cell,0,raw_mean,12029,58257,1.003389835357666,0.2972346670786343,Hepatocyte,0.0,0.1455104107660882,CD4_T,,,0.4857142857142857,19,22,0.0,5.121,B_cell 4/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6
HCC,5629.6,1,B_cell,0,zscale_mean,12029,58257,1.003389835357666,0.3078943302950718,Hepatocyte,0.0,0.1424034879928592,CD4_T,,,0.4857142857142857,19,22,0.0,5.0185,B_cell 4/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6
HCC,5629.6,1,B_cell,0,lognorm_mean,12029,58257,1.003389835357666,0.3074308666769658,Hepatocyte,0.0,0.1484285150282369,CD4_T,,,0.3142857142857143,19,22,0.0,5.111,B_cell 4/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6
HCC,5629.6,1,B_cell,0,pseudobulk_cpm,12029,58257,1.003389835357666,0.2953464819678322,Hepatocyte,0.0,0.1497502446057984,CD4_T,,,0.2,19,22,0.0,5.1465,B_cell 4/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6
HCC,5629.6,1,B_cell,0,cpm_mean,12029,58257,1.003389835357666,0.2929261719621676,Hepatocyte,0.0,0.1518100829084916,CD4_T,,,0.2,19,22,0.0,5.107,B_cell 4/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6
HCC,5629.6,2,B_cell,0,raw_mean,12029,58128,2.002495527267456,0.3570740434902285,B_cell,1.0,0.3570740434902285,NK_cytotoxic_T,0.942857142857143,0.004804664723032,0.942857142857143,18,22,0.0,4.68,B_cell 5/5; Hepatocyte 4/5; Macrophage 5/6; NK_cytotoxic_T 4/6
HCC,5629.6,2,B_cell,0,zscale_mean,12029,58128,2.002495527267456,0.3514657308009909,B_cell,1.0,0.3514657308009909,NK_cytotoxic_T,0.942857142857143,0.004804664723032,0.942857142857143,19,22,0.0,4.7235,B_cell 5/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 4/6
