cohort,target_depth,spread,deep_type,seed,method,n_cells,n_genes_expressed,realised_spread,top_share,top_type,deep_wins,deep_type_share,shallowest_type,rho_depth_share,p_depth_share,rho_detection_share,markers_correct,markers_total,perm_p,null_mean,per_lineage
LUAD,2679.4000000000015,natural,none,-1,raw_mean,53308,18305,3.566100597381592,0.6610215788036056,B_cell,,,Fibroblast,0.8857142857142858,0.01884548104956266,0.942857142857143,23,36,0.0,6.0155,B_cell 6/6; Endothelial 1/6; Epithelial 5/6; Fibroblast 0/6; Macrophage 5/6; T_NK 6/6
LUAD,2679.4000000000015,natural,none,-1,zscale_mean,53308,18305,3.566100597381592,0.6462715105162524,B_cell,,,Fibroblast,0.8857142857142858,0.01884548104956266,0.942857142857143,23,36,0.0,6.0085,B_cell 6/6; Endothelial 1/6; Epithelial 5/6; Fibroblast 0/6; Macrophage 5/6; T_NK 6/6
LUAD,2679.4000000000015,natural,none,-1,lognorm_mean,53308,18305,3.566100597381592,0.36913411636164983,T_NK,,,Fibroblast,0.942857142857143,0.004804664723032055,0.8857142857142858,23,36,0.0,5.9685,B_cell 6/6; Endothelial 1/6; Epithelial 4/6; Fibroblast 0/6; Macrophage 6/6; T_NK 6/6
LUAD,2679.4000000000015,natural,none,-1,pseudobulk_cpm,53308,18305,3.566100597381592,0.2411909314394974,B_cell,,,Fibroblast,0.6571428571428573,0.1561749271137024,0.7142857142857143,23,36,0.0,6.003,B_cell 6/6; Endothelial 1/6; Epithelial 4/6; Fibroblast 0/6; Macrophage 6/6; T_NK 6/6
LUAD,2679.4000000000015,natural,none,-1,cpm_mean,53308,18305,3.566100597381592,0.2526085768915597,T_NK,,,Fibroblast,0.5428571428571429,0.26570262390670546,0.4285714285714286,23,36,0.0,6.017,B_cell 6/6; Endothelial 1/6; Epithelial 4/6; Fibroblast 0/6; Macrophage 6/6; T_NK 6/6
LUAD,2679.4000000000015,1,B_cell,0,raw_mean,53308,18303,1.0159574747085571,0.28388788723160135,T_NK,0.0,0.20876359066819647,Fibroblast,,,0.7714285714285715,24,36,0.0,6.046,B_cell 6/6; Endothelial 2/6; Epithelial 4/6; Fibroblast 0/6; Macrophage 6/6; T_NK 6/6
LUAD,2679.4000000000015,1,B_cell,0,zscale_mean,53308,18303,1.0159574747085571,0.2839425230836475,T_NK,0.0,0.2105665737857182,Fibroblast,,,0.7714285714285715,24,36,0.0,5.8955,B_cell 6/6; Endothelial 2/6; Epithelial 4/6; Fibroblast 0/6; Macrophage 6/6; T_NK 6/6
LUAD,2679.4000000000015,1,B_cell,0,lognorm_mean,53308,18303,1.0159574747085571,0.30738130361142985,T_NK,0.0,0.21613943069442168,Fibroblast,,,0.8857142857142858,24,36,0.0,6.0005,B_cell 6/6; Endothelial 2/6; Epithelial 4/6; Fibroblast 0/6; Macrophage 6/6; T_NK 6/6
LUAD,2679.4000000000015,1,B_cell,0,pseudobulk_cpm,53308,18303,1.0159574747085571,0.25219909304485605,T_NK,0.0,0.17751188329782003,Fibroblast,,,0.4285714285714286,24,36,0.0,6.012,B_cell 6/6; Endothelial 2/6; Epithelial 4/6; Fibroblast 0/6; Macrophage 6/6; T_NK 6/6
LUAD,2679.4000000000015,1,B_cell,0,cpm_mean,53308,18303,1.0159574747085571,0.2472818663607059,T_NK,0.0,0.17368737365459214,Fibroblast,,,0.4285714285714286,24,36,0.0,5.9275,B_cell 6/6; Endothelial 2/6; Epithelial 4/6; Fibroblast 0/6; Macrophage 6/6; T_NK 6/6
LUAD,2679.4000000000015,2,B_cell,0,raw_mean,53308,18300,2.0545732975006104,0.7239890710382514,B_cell,1.0,0.7239890710382514,Fibroblast,1.0,0.0,1.0,24,36,0.0,6.0575,B_cell 6/6; Endothelial 4/6; Epithelial 4/6; Fibroblast 0/6; Macrophage 4/6; T_NK 6/6
