cohort,deep_type,spread,method,top_share_mean,deep_wins,n,markers_correct_mean
HCC,B_cell,1,cpm_mean,0.29299199008634896,0.0,3,19.333333333333332
HCC,B_cell,1,lognorm_mean,0.30742565038438,0.0,3,19.333333333333332
HCC,B_cell,1,pseudobulk_cpm,0.29596677203824995,0.0,3,19.333333333333332
HCC,B_cell,1,raw_mean,0.29725399885353315,0.0,3,19.333333333333332
HCC,B_cell,1,zscale_mean,0.30824370231206316,0.0,3,19.333333333333332
HCC,B_cell,2,cpm_mean,0.2868815014984125,0.0,3,19.0
HCC,B_cell,2,lognorm_mean,0.2943613627925649,2.0,3,19.666666666666668
HCC,B_cell,2,pseudobulk_cpm,0.2914908274912455,0.0,3,19.666666666666668
HCC,B_cell,2,raw_mean,0.37175399695842,2.0,3,19.0
HCC,B_cell,2,zscale_mean,0.37037195211271917,2.0,3,19.333333333333332
HCC,B_cell,5,cpm_mean,0.2708843023052836,0.0,3,19.0
HCC,B_cell,5,lognorm_mean,0.35045460810097717,3.0,3,18.666666666666668
HCC,B_cell,5,pseudobulk_cpm,0.2750746028621578,0.0,3,19.0
HCC,B_cell,5,raw_mean,0.49533285292949863,3.0,3,15.666666666666666
HCC,B_cell,5,zscale_mean,0.4879288743395427,3.0,3,16.666666666666668
HCC,B_cell,10,cpm_mean,0.2637146517715947,0.0,3,19.0
HCC,B_cell,10,lognorm_mean,0.39487132169213385,2.0,3,14.666666666666666
HCC,B_cell,10,pseudobulk_cpm,0.2666446571544942,0.0,3,19.0
HCC,B_cell,10,raw_mean,0.5765534812054187,3.0,3,10.333333333333334
HCC,B_cell,10,zscale_mean,0.5686109214713362,3.0,3,11.0
HCC,B_cell,20,cpm_mean,0.24669555280272112,0.0,3,19.0
HCC,B_cell,20,lognorm_mean,0.43388659546555686,3.0,3,15.333333333333334
HCC,B_cell,20,pseudobulk_cpm,0.24296113517565487,0.0,3,19.0
HCC,B_cell,20,raw_mean,0.6200702304161236,3.0,3,12.333333333333334
HCC,B_cell,20,zscale_mean,0.6108650659910917,3.0,3,12.333333333333334
HCC,B_cell,40,cpm_mean,0.2385947642856133,0.0,3,18.666666666666668
HCC,B_cell,40,lognorm_mean,0.5345723102204615,3.0,3,15.666666666666666
HCC,B_cell,40,pseudobulk_cpm,0.2418480583988953,0.0,3,18.333333333333332
HCC,B_cell,40,raw_mean,0.7064338384026478,3.0,3,11.666666666666666
HCC,B_cell,40,zscale_mean,0.7027426623884158,3.0,3,12.0
HCC,NK_cytotoxic_T,1,cpm_mean,0.29169936845568256,0.0,3,19.0
HCC,NK_cytotoxic_T,1,lognorm_mean,0.30548327702564304,0.0,3,19.0
HCC,NK_cytotoxic_T,1,pseudobulk_cpm,0.2941941234104382,0.0,3,19.0
HCC,NK_cytotoxic_T,1,raw_mean,0.29588206887164775,0.0,3,19.0
HCC,NK_cytotoxic_T,1,zscale_mean,0.3069995641854198,0.0,3,19.0
HCC,NK_cytotoxic_T,2,cpm_mean,0.28430942983032703,0.0,3,19.0
HCC,NK_cytotoxic_T,2,lognorm_mean,0.26372352212294764,0.0,3,19.666666666666668
HCC,NK_cytotoxic_T,2,pseudobulk_cpm,0.2869399005557572,0.0,3,19.333333333333332
HCC,NK_cytotoxic_T,2,raw_mean,0.34063049731639444,1.0,3,19.0
HCC,NK_cytotoxic_T,2,zscale_mean,0.3368542127766038,1.0,3,19.333333333333332
HCC,NK_cytotoxic_T,5,cpm_mean,0.27597280233170346,0.0,3,18.666666666666668
HCC,NK_cytotoxic_T,5,lognorm_mean,0.29526450704964585,3.0,3,19.0
HCC,NK_cytotoxic_T,5,pseudobulk_cpm,0.2838129143921578,0.0,3,18.333333333333332
HCC,NK_cytotoxic_T,5,raw_mean,0.46511998268244237,3.0,3,16.666666666666668
HCC,NK_cytotoxic_T,5,zscale_mean,0.44511720762347395,3.0,3,16.666666666666668
HCC,NK_cytotoxic_T,10,cpm_mean,0.25636487876424147,0.0,3,18.333333333333332
HCC,NK_cytotoxic_T,10,lognorm_mean,0.3678087305579745,2.0,3,15.666666666666666
HCC,NK_cytotoxic_T,10,pseudobulk_cpm,0.25663514224226375,0.0,3,18.333333333333332
HCC,NK_cytotoxic_T,10,raw_mean,0.5997656464258349,3.0,3,10.666666666666666
HCC,NK_cytotoxic_T,10,zscale_mean,0.5747595275941944,3.0,3,10.666666666666666
HCC,NK_cytotoxic_T,20,cpm_mean,0.2387427635726039,0.0,3,18.666666666666668
HCC,NK_cytotoxic_T,20,lognorm_mean,0.421117356598197,2.0,3,14.0
HCC,NK_cytotoxic_T,20,pseudobulk_cpm,0.23824775117142072,0.0,3,19.0
HCC,NK_cytotoxic_T,20,raw_mean,0.6290558722806411,3.0,3,8.333333333333334
HCC,NK_cytotoxic_T,20,zscale_mean,0.6063878515736684,3.0,3,9.0
HCC,NK_cytotoxic_T,40,cpm_mean,0.2505389871896501,0.0,3,18.333333333333332
HCC,NK_cytotoxic_T,40,lognorm_mean,0.4619913318026801,1.0,3,16.333333333333332
HCC,NK_cytotoxic_T,40,pseudobulk_cpm,0.2539005159049939,0.0,3,18.333333333333332
HCC,NK_cytotoxic_T,40,raw_mean,0.6610868162037528,3.0,3,10.666666666666666
HCC,NK_cytotoxic_T,40,zscale_mean,0.6357043339898086,3.0,3,11.0
LUAD,B_cell,1,cpm_mean,0.24953740904961874,0.0,3,24.0
LUAD,B_cell,1,lognorm_mean,0.3114773647411009,0.0,3,23.333333333333332
LUAD,B_cell,1,pseudobulk_cpm,0.25679238541201627,0.0,3,24.0
LUAD,B_cell,1,raw_mean,0.288605733370573,0.0,3,24.0
LUAD,B_cell,1,zscale_mean,0.28831553526357256,0.0,3,23.666666666666668
LUAD,B_cell,2,cpm_mean,0.24565537024168002,0.0,3,23.666666666666668
LUAD,B_cell,2,lognorm_mean,0.5435382610320345,3.0,3,24.0
LUAD,B_cell,2,pseudobulk_cpm,0.25305664098057973,0.0,3,23.666666666666668
LUAD,B_cell,2,raw_mean,0.7383436918822208,3.0,3,20.666666666666668
LUAD,B_cell,2,zscale_mean,0.7276773785846071,3.0,3,21.333333333333332
LUAD,B_cell,5,cpm_mean,0.2342886977646563,0.0,3,23.666666666666668
LUAD,B_cell,5,lognorm_mean,0.7531719061427258,3.0,3,19.0
LUAD,B_cell,5,pseudobulk_cpm,0.23938655197812944,0.0,3,23.333333333333332
LUAD,B_cell,5,raw_mean,0.8816921177646888,3.0,3,12.0
LUAD,B_cell,5,zscale_mean,0.8694460221134722,3.0,3,13.333333333333334
LUAD,B_cell,10,cpm_mean,0.23212470216812733,0.0,3,24.0
LUAD,B_cell,10,lognorm_mean,0.8101236000186208,3.0,3,18.0
LUAD,B_cell,10,pseudobulk_cpm,0.23626268464470038,0.0,3,23.333333333333332
LUAD,B_cell,10,raw_mean,0.9196161903051775,3.0,3,11.0
LUAD,B_cell,10,zscale_mean,0.9076740750246793,3.0,3,12.0
LUAD,B_cell,20,cpm_mean,0.23188728471182452,0.0,3,23.333333333333332
LUAD,B_cell,20,lognorm_mean,0.8550436958242162,3.0,3,16.0
LUAD,B_cell,20,pseudobulk_cpm,0.2341563373056068,0.0,3,23.666666666666668
LUAD,B_cell,20,raw_mean,0.9485230686768972,3.0,3,10.333333333333334
LUAD,B_cell,20,zscale_mean,0.9364342384924175,3.0,3,11.333333333333334
LUAD,B_cell,40,cpm_mean,0.24587856128319877,0.0,3,24.666666666666668
LUAD,B_cell,40,lognorm_mean,0.8687774215088817,3.0,3,13.666666666666666
LUAD,B_cell,40,pseudobulk_cpm,0.24609635498274388,0.0,3,24.0
