model,method,corr,cell_type,n_test,recall,confusion
proximal,raw_mean,pearson,B,397,0.9974811083123426,B:396; DC:0; Mono_CD14:0; Mono_CD16:0; NK:0; T_CD4:0; T_CD8:0; pDC:1
proximal,raw_mean,pearson,DC,111,0.9099099099099099,B:0; DC:101; Mono_CD14:5; Mono_CD16:0; NK:0; T_CD4:1; T_CD8:4; pDC:0
proximal,raw_mean,pearson,Mono_CD14,1572,0.9179389312977099,B:8; DC:17; Mono_CD14:1443; Mono_CD16:44; NK:35; T_CD4:14; T_CD8:10; pDC:1
proximal,raw_mean,pearson,Mono_CD16,221,0.9457013574660633,B:1; DC:1; Mono_CD14:10; Mono_CD16:209; NK:0; T_CD4:0; T_CD8:0; pDC:0
proximal,raw_mean,pearson,NK,341,0.8768328445747801,B:0; DC:0; Mono_CD14:0; Mono_CD16:0; NK:299; T_CD4:12; T_CD8:30; pDC:0
proximal,raw_mean,pearson,T_CD4,1771,0.9525691699604744,B:1; DC:0; Mono_CD14:1; Mono_CD16:0; NK:12; T_CD4:1687; T_CD8:68; pDC:2
proximal,raw_mean,pearson,T_CD8,1137,0.6578715919085312,B:0; DC:0; Mono_CD14:1; Mono_CD16:0; NK:322; T_CD4:65; T_CD8:748; pDC:1
proximal,raw_mean,pearson,pDC,56,0.9464285714285714,B:0; DC:1; Mono_CD14:0; Mono_CD16:0; NK:0; T_CD4:2; T_CD8:0; pDC:53
proximal,raw_mean,spearman,B,397,0.9974811083123426,B:396; DC:0; Mono_CD14:1; Mono_CD16:0; NK:0; T_CD4:0; T_CD8:0; pDC:0
proximal,raw_mean,spearman,DC,111,0.9099099099099099,B:0; DC:101; Mono_CD14:1; Mono_CD16:7; NK:1; T_CD4:0; T_CD8:0; pDC:1
proximal,raw_mean,spearman,Mono_CD14,1572,0.18893129770992367,B:7; DC:11; Mono_CD14:297; Mono_CD16:1212; NK:25; T_CD4:10; T_CD8:10; pDC:0
proximal,raw_mean,spearman,Mono_CD16,221,0.995475113122172,B:0; DC:1; Mono_CD14:0; Mono_CD16:220; NK:0; T_CD4:0; T_CD8:0; pDC:0
proximal,raw_mean,spearman,NK,341,0.9266862170087976,B:0; DC:0; Mono_CD14:0; Mono_CD16:0; NK:316; T_CD4:5; T_CD8:20; pDC:0
proximal,raw_mean,spearman,T_CD4,1771,0.8876341050254094,B:0; DC:0; Mono_CD14:4; Mono_CD16:0; NK:61; T_CD4:1572; T_CD8:134; pDC:0
proximal,raw_mean,spearman,T_CD8,1137,0.6666666666666666,B:0; DC:0; Mono_CD14:2; Mono_CD16:0; NK:351; T_CD4:26; T_CD8:758; pDC:0
proximal,raw_mean,spearman,pDC,56,1.0,B:0; DC:0; Mono_CD14:0; Mono_CD16:0; NK:0; T_CD4:0; T_CD8:0; pDC:56
proximal,zscale_mean,pearson,B,397,0.8690176322418136,B:345; DC:49; Mono_CD14:0; Mono_CD16:0; NK:3; T_CD4:0; T_CD8:0; pDC:0
proximal,zscale_mean,pearson,DC,111,0.990990990990991,B:0; DC:110; Mono_CD14:0; Mono_CD16:0; NK:1; T_CD4:0; T_CD8:0; pDC:0
proximal,zscale_mean,pearson,Mono_CD14,1572,0.0,B:4; DC:1520; Mono_CD14:0; Mono_CD16:0; NK:48; T_CD4:0; T_CD8:0; pDC:0
proximal,zscale_mean,pearson,Mono_CD16,221,0.0,B:0; DC:221; Mono_CD14:0; Mono_CD16:0; NK:0; T_CD4:0; T_CD8:0; pDC:0
proximal,zscale_mean,pearson,NK,341,1.0,B:0; DC:0; Mono_CD14:0; Mono_CD16:0; NK:341; T_CD4:0; T_CD8:0; pDC:0
proximal,zscale_mean,pearson,T_CD4,1771,0.0,B:0; DC:8; Mono_CD14:0; Mono_CD16:0; NK:1763; T_CD4:0; T_CD8:0; pDC:0
proximal,zscale_mean,pearson,T_CD8,1137,0.0,B:0; DC:4; Mono_CD14:0; Mono_CD16:0; NK:1133; T_CD4:0; T_CD8:0; pDC:0
proximal,zscale_mean,pearson,pDC,56,0.6071428571428571,B:0; DC:22; Mono_CD14:0; Mono_CD16:0; NK:0; T_CD4:0; T_CD8:0; pDC:34
proximal,zscale_mean,spearman,B,397,0.022670025188916875,B:9; DC:384; Mono_CD14:0; Mono_CD16:0; NK:4; T_CD4:0; T_CD8:0; pDC:0
proximal,zscale_mean,spearman,DC,111,0.990990990990991,B:0; DC:110; Mono_CD14:0; Mono_CD16:0; NK:1; T_CD4:0; T_CD8:0; pDC:0
proximal,zscale_mean,spearman,Mono_CD14,1572,0.0,B:0; DC:1527; Mono_CD14:0; Mono_CD16:0; NK:45; T_CD4:0; T_CD8:0; pDC:0
proximal,zscale_mean,spearman,Mono_CD16,221,0.0,B:0; DC:221; Mono_CD14:0; Mono_CD16:0; NK:0; T_CD4:0; T_CD8:0; pDC:0
proximal,zscale_mean,spearman,NK,341,0.9970674486803519,B:0; DC:1; Mono_CD14:0; Mono_CD16:0; NK:340; T_CD4:0; T_CD8:0; pDC:0
proximal,zscale_mean,spearman,T_CD4,1771,0.0,B:0; DC:15; Mono_CD14:0; Mono_CD16:0; NK:1756; T_CD4:0; T_CD8:0; pDC:0
proximal,zscale_mean,spearman,T_CD8,1137,0.0,B:0; DC:5; Mono_CD14:0; Mono_CD16:0; NK:1132; T_CD4:0; T_CD8:0; pDC:0
proximal,zscale_mean,spearman,pDC,56,0.03571428571428571,B:0; DC:54; Mono_CD14:0; Mono_CD16:0; NK:0; T_CD4:0; T_CD8:0; pDC:2
proximal,lognorm_mean,pearson,B,397,0.9974811083123426,B:396; DC:1; Mono_CD14:0; Mono_CD16:0; NK:0; T_CD4:0; T_CD8:0; pDC:0
proximal,lognorm_mean,pearson,DC,111,0.8738738738738738,B:0; DC:97; Mono_CD14:10; Mono_CD16:0; NK:0; T_CD4:0; T_CD8:4; pDC:0
proximal,lognorm_mean,pearson,Mono_CD14,1572,0.9147582697201018,B:6; DC:17; Mono_CD14:1438; Mono_CD16:54; NK:30; T_CD4:10; T_CD8:13; pDC:4
