model,cell_type,n_cells,median_true_depth,median_matrix_rowsum,detection_rate,median_rna_umi
proximal,B,794,19497.0,24383.0,0.17749185660153433,3159.5
proximal,DC,221,26038.0,29556.0,0.2031116073996778,8262.0
proximal,Mono_CD14,3143,18515.0,21276.0,0.1688682042157054,4551.0
proximal,Mono_CD16,442,17215.5,19938.5,0.15946582180776792,6699.0
proximal,NK,682,16579.0,21145.0,0.17084389182670764,3528.5
proximal,T_CD4,3542,16001.0,20636.5,0.16282986152957707,3240.5
proximal,T_CD8,2273,16434.0,21104.0,0.16293559801871513,3296.0
proximal,pDC,112,26573.0,30483.5,0.2179145767930815,5606.5
enhancer,B,794,19497.0,21915.345703125,0.7158966898206276,3159.5
enhancer,DC,221,26038.0,26554.9453125,0.7591234958696261,8262.0
enhancer,Mono_CD14,3143,18515.0,19217.7109375,0.7192775521105723,4551.0
enhancer,Mono_CD16,442,17215.5,18136.1484375,0.7105569611778778,6699.0
enhancer,NK,682,16579.0,19013.69921875,0.708239036211718,3528.5
enhancer,T_CD4,3542,16001.0,18590.6171875,0.6946395442018296,3240.5
enhancer,T_CD8,2273,16434.0,19022.58984375,0.695162991794213,3296.0
enhancer,pDC,112,26573.0,27683.056640625,0.8051705823993328,5606.5
