model,draw,method,n_per_type,top_share,top_type,deepest_type,rho_depth_share,share_pDC,argmax_agree_all,argmax_agree_informative
proximal,0,raw_mean,112,0.26394949721441263,pDC,pDC,0.9761904761904763,0.26394949721441263,0.3139261744966443,0.5979073243647235
proximal,0,zscale_mean,112,0.28664815357814305,pDC,pDC,0.9523809523809524,0.28664815357814305,0.3141778523489933,0.5986547085201793
proximal,0,lognorm_mean,112,0.17946771995791436,B,pDC,0.7857142857142858,0.17406902737292373,0.311996644295302,0.6106128550074739
proximal,0,pseudobulk_cpm,112,0.19604325853355642,B,pDC,0.4047619047619048,0.14438484226503615,0.3075503355704698,0.5979073243647235
proximal,0,depth_matched,112,0.2271590458285182,B,pDC,0.8571428571428572,0.14947306690584197,0.31476510067114094,0.600896860986547
proximal,0,cpm_mean,112,0.18517688048708972,B,pDC,0.6666666666666669,0.15297445538748125,0.2898489932885906,0.5762331838565022
proximal,0,archr_style,112,0.17946771995791436,B,pDC,0.7857142857142858,0.17406902737292373,0.311996644295302,0.6106128550074739
proximal,1,raw_mean,112,0.2686065163771841,pDC,pDC,0.880952380952381,0.2686065163771841,0.3119127516778524,0.5986547085201793
proximal,1,zscale_mean,112,0.287838280697518,pDC,pDC,0.880952380952381,0.287838280697518,0.3125,0.5971599402092675
proximal,1,lognorm_mean,112,0.1852631215826966,B,pDC,0.8333333333333335,0.17965745036824948,0.3155201342281879,0.5994020926756353
proximal,1,pseudobulk_cpm,112,0.1818997188540283,B,pDC,0.261904761904762,0.15097366196940165,0.31023489932885906,0.594170403587444
proximal,1,depth_matched,112,0.23183331321041104,B,pDC,0.8095238095238096,0.1549235041481967,0.31728187919463086,0.5994020926756353
proximal,1,cpm_mean,112,0.18590130569018748,B,pDC,0.8095238095238096,0.1573382548251893,0.285989932885906,0.5568011958146487
proximal,1,archr_style,112,0.1852631215826966,B,pDC,0.8333333333333335,0.17965745036824948,0.3155201342281879,0.5994020926756353
proximal,2,raw_mean,112,0.2620349448919399,pDC,pDC,0.9761904761904763,0.2620349448919399,0.3174496644295302,0.5971599402092675
proximal,2,zscale_mean,112,0.28314676509650377,pDC,pDC,0.9285714285714287,0.28314676509650377,0.3187919463087248,0.600896860986547
proximal,2,lognorm_mean,112,0.17858806078272418,pDC,pDC,0.7142857142857144,0.17858806078272418,0.3091442953020134,0.5949177877428998
proximal,2,pseudobulk_cpm,112,0.17370681477137487,B,pDC,0.4285714285714286,0.147730996774583,0.3061241610738255,0.5837070254110612
proximal,2,depth_matched,112,0.21227383272677097,B,pDC,0.8095238095238096,0.15525122031150285,0.30838926174496645,0.5994020926756353
proximal,2,cpm_mean,112,0.17536264380702693,B,pDC,0.6666666666666669,0.1555616882556876,0.2827181208053691,0.5500747384155455
proximal,2,archr_style,112,0.17858806078272418,pDC,pDC,0.7142857142857144,0.17858806078272418,0.3091442953020134,0.5949177877428998
