model,method,gene,target,argmax,correct
proximal,raw_mean,CD3G,T_CD4|T_CD8,T_CD4,1
proximal,raw_mean,CD2,T_CD4|T_CD8,T_CD4,1
proximal,raw_mean,CD5,T_CD4|T_CD8,T_CD4,1
proximal,raw_mean,CD6,T_CD4|T_CD8,T_CD4,1
proximal,raw_mean,LCK,T_CD4|T_CD8,T_CD8,1
proximal,raw_mean,ITK,T_CD4|T_CD8,T_CD4,1
proximal,raw_mean,SKAP1,T_CD4|T_CD8,NK,0
proximal,raw_mean,CD247,T_CD4|T_CD8,NK,0
proximal,raw_mean,LEF1,T_CD4|T_CD8,T_CD8,1
proximal,raw_mean,TCF7,T_CD4|T_CD8,T_CD8,1
proximal,raw_mean,CD28,T_CD4|T_CD8,T_CD4,1
proximal,raw_mean,TRAT1,T_CD4|T_CD8,T_CD4,1
proximal,raw_mean,BCL11B,T_CD4|T_CD8,T_CD8,1
proximal,raw_mean,KLRF1,NK,NK,1
proximal,raw_mean,NCR1,NK,NK,1
proximal,raw_mean,KLRC1,NK,NK,1
proximal,raw_mean,SH2D1B,NK,NK,1
proximal,raw_mean,NCR3,NK,NK,1
proximal,raw_mean,VCAN,Mono_CD14,Mono_CD14,1
proximal,raw_mean,S100A12,Mono_CD14,Mono_CD14,1
proximal,raw_mean,CSF3R,Mono_CD14,pDC,0
proximal,raw_mean,CD36,Mono_CD14,pDC,0
proximal,raw_mean,CCR2,Mono_CD14,pDC,0
proximal,raw_mean,CDKN1C,Mono_CD16,Mono_CD16,1
proximal,raw_mean,TCF7L2,Mono_CD16,Mono_CD16,1
proximal,raw_mean,CX3CR1,Mono_CD16,pDC,0
proximal,raw_mean,LYPD2,Mono_CD16,DC,0
proximal,raw_mean,HES4,Mono_CD16,Mono_CD16,1
proximal,raw_mean,PAX5,B,B,1
proximal,raw_mean,EBF1,B,B,1
proximal,raw_mean,BANK1,B,B,1
proximal,raw_mean,CD22,B,B,1
proximal,raw_mean,FCRL1,B,B,1
proximal,raw_mean,TNFRSF13C,B,B,1
proximal,raw_mean,BLK,B,pDC,0
proximal,raw_mean,VPREB3,B,B,1
proximal,raw_mean,CD1E,DC,DC,1
proximal,raw_mean,PKIB,DC,DC,1
proximal,raw_mean,ENHO,DC,DC,1
proximal,raw_mean,CLEC9A,DC,DC,1
proximal,raw_mean,FLT3,DC|pDC,pDC,1
proximal,raw_mean,PLD4,pDC,pDC,1
proximal,raw_mean,SERPINF1,pDC,pDC,1
proximal,raw_mean,PTPRS,pDC,pDC,1
proximal,raw_mean,DERL3,pDC,pDC,1
proximal,raw_mean,TCF4,pDC,pDC,1
proximal,raw_mean,IRF7,pDC,pDC,1
proximal,raw_mean,ITM2C,pDC,pDC,1
proximal,raw_mean,CD68,DC|Mono_CD14|Mono_CD16,pDC,0
proximal,raw_mean,CSF1R,Mono_CD14|Mono_CD16,pDC,0
proximal,raw_mean,ITGAX,DC|Mono_CD14|Mono_CD16,DC,1
proximal,zscale_mean,CD3G,T_CD4|T_CD8,T_CD4,1
proximal,zscale_mean,CD2,T_CD4|T_CD8,T_CD4,1
proximal,zscale_mean,CD5,T_CD4|T_CD8,T_CD4,1
proximal,zscale_mean,CD6,T_CD4|T_CD8,T_CD4,1
proximal,zscale_mean,LCK,T_CD4|T_CD8,T_CD8,1
proximal,zscale_mean,ITK,T_CD4|T_CD8,T_CD4,1
proximal,zscale_mean,SKAP1,T_CD4|T_CD8,NK,0
proximal,zscale_mean,CD247,T_CD4|T_CD8,NK,0
proximal,zscale_mean,LEF1,T_CD4|T_CD8,T_CD8,1
proximal,zscale_mean,TCF7,T_CD4|T_CD8,T_CD8,1
proximal,zscale_mean,CD28,T_CD4|T_CD8,T_CD4,1
proximal,zscale_mean,TRAT1,T_CD4|T_CD8,T_CD4,1
proximal,zscale_mean,BCL11B,T_CD4|T_CD8,T_CD8,1
proximal,zscale_mean,KLRF1,NK,NK,1
proximal,zscale_mean,NCR1,NK,NK,1
proximal,zscale_mean,KLRC1,NK,NK,1
proximal,zscale_mean,SH2D1B,NK,NK,1
proximal,zscale_mean,NCR3,NK,NK,1
proximal,zscale_mean,VCAN,Mono_CD14,Mono_CD14,1
proximal,zscale_mean,S100A12,Mono_CD14,Mono_CD14,1
proximal,zscale_mean,CSF3R,Mono_CD14,pDC,0
proximal,zscale_mean,CD36,Mono_CD14,pDC,0
proximal,zscale_mean,CCR2,Mono_CD14,pDC,0
