model,cell_type,n_cells,median_true_depth,rna_argmax_share_all,rna_argmax_share_informative
proximal,B,794,19497.0,0.11317114093959732,0.1726457399103139
proximal,DC,221,26038.0,0.09052013422818792,0.053064275037369206
proximal,Mono_CD14,3143,18515.0,0.12416107382550336,0.13602391629297458
proximal,Mono_CD16,442,17215.5,0.10335570469798658,0.10239162929745889
proximal,NK,682,16579.0,0.16208053691275168,0.1382660687593423
proximal,T_CD4,3542,16001.0,0.10092281879194631,0.04484304932735426
proximal,T_CD8,2273,16434.0,0.08062080536912751,0.01868460388639761
proximal,pDC,112,26573.0,0.22516778523489933,0.33408071748878926
enhancer,B,794,19497.0,0.1086761271780133,0.16131687242798354
enhancer,DC,221,26038.0,0.09313813544099156,0.0551440329218107
enhancer,Mono_CD14,3143,18515.0,0.12358541404706305,0.1308641975308642
enhancer,Mono_CD16,442,17215.5,0.10616130770612538,0.10699588477366255
enhancer,NK,682,16579.0,0.16499012035207472,0.1440329218106996
enhancer,T_CD4,3542,16001.0,0.09879647925273936,0.04526748971193416
enhancer,T_CD8,2273,16434.0,0.07795940362852524,0.018930041152263374
enhancer,pDC,112,26573.0,0.2266930123944674,0.3374485596707819
