,B,DC,Mono_CD14,Mono_CD16,NK,Plasma,T_CD4,T_CD8,pDC,call,n_cells
0,-0.4854962,-0.35777318,-0.40018997,-0.5136932,-0.45402974,-0.3688604,1.2375724,-0.4517573,-0.26828754,T_CD4,1663
1,-0.45740014,-0.36200848,-0.5898054,-0.5062297,-0.46385098,-0.44076514,1.1600697,2.8966193,-0.26965022,T_CD8,1585
2,-0.477888,-0.36941585,-0.6920395,-0.51279265,-0.43924692,-0.30444732,0.9656579,-0.26028192,-0.32796952,T_CD4,1879
3,-0.48064142,-0.28438377,0.50795364,-0.3034604,-0.18504788,-0.55546826,-0.59772545,-0.51664376,-0.29436198,Mono_CD14,214
4,-0.27266824,-0.34495464,0.046602964,3.4743378,-0.45728824,-0.50036997,-0.48127356,-0.59517026,-0.024987161,Mono_CD16,442
5,-0.47020683,-0.36348572,-0.52201736,0.18568249,3.1771774,0.08318726,-0.64064366,-0.28645292,-0.3818798,NK,448
6,-0.5247796,-0.3220451,2.1983476,-0.033365805,-0.43533128,-0.38288474,-0.6705977,-0.58478224,-0.20694564,Mono_CD14,1792
7,-0.520381,-0.10558324,1.4965026,0.46141148,-0.44081584,-0.4074525,-0.53642464,-0.59688985,-0.17596884,Mono_CD14,1137
8,-0.4508989,-0.24857424,1.0753412,0.37955475,-0.17088884,-0.3208282,0.45496693,0.28023964,-0.1754361,mixed_doublet,442
9,1.4554273,0.24879397,1.0715632,0.17766981,-0.40332308,-0.24245846,-0.36306757,-0.50856197,-0.06348155,mixed_doublet,84
10,-0.49595463,-0.3765969,-0.62934697,-0.2897416,1.2451164,-0.03380646,0.77614343,0.92521954,-0.31978816,NK,234
11,-0.5185804,3.8219347,0.89370483,0.09941101,-0.44069886,-0.41567937,-0.46179947,-0.5198587,-0.07981322,DC,221
12,1.9894973,-0.12683953,-0.609262,-0.43703738,-0.092670456,-0.22338267,0.5606967,0.26175526,-0.27183568,mixed_doublet,122
13,2.5177193,-0.03889191,-0.454425,-0.48761714,-0.4401268,-0.40783885,-0.59514683,-0.59381735,-0.266019,B,794
14,0.68959486,-0.39531925,-1.1578857,-0.6574747,-0.47182727,3.535566,-0.794418,-0.5204276,-0.39509952,Plasma,18
15,-0.5041344,-0.38738856,-0.5366806,-0.27055588,1.3669869,-0.16219194,0.3554178,1.9279824,-0.37000716,T_CD8,688
16,-0.4904989,0.11762982,-0.7420754,-0.43644723,-0.40403754,1.166117,0.060661875,-0.50128144,3.9345257,pDC,112
17,-0.5027098,-0.10509873,-0.9562882,-0.32965237,-0.49009803,-0.018436348,-0.43009034,-0.35589027,-0.04299515,Plasma,23
