tool,path,computes,top_type,top_share,markers_correct,markers_total,perm_p,per_lineage,n_genes_expressed,paper_equivalent,paper_top_share,paper_markers
Seurat,AggregateExpression_returnseurat_data,"AggregateExpression(return.seurat=TRUE) data layer = LogNormalize(sums, 1e4) [pseudobulk CPM, log]",Hepatocyte,0.316475620188195,20,22,0.0,B_cell 5/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6,58450,pseudobulk_cpm,0.316475620188195,20/22
Seurat,AggregateExpression_sum,AggregateExpression(group.by='cell_type') [sum of counts per type],NK_cytotoxic_T,0.4102822925577417,17,22,0.0,B_cell 1/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 6/6,58450,(sum; no paper equivalent),,
Seurat,AverageExpression_counts,"AverageExpression(group.by='cell_type', layer='counts') [mean of raw counts]",Endothelial_stromal,0.6706415739948675,15,22,0.0,B_cell 4/5; Hepatocyte 4/5; Macrophage 2/6; NK_cytotoxic_T 5/6,58450,raw_mean,0.6706415739948675,15/22
Seurat,AverageExpression_default,"NormalizeData() [LogNormalize, 1e4] -> AverageExpression(group.by='cell_type') [layer='data' default: expm1 then mean = CP10k mean]",Hepatocyte,0.3009751924721984,19,22,0.0,B_cell 4/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6,58450,cpm_mean,0.3009751924721984,19/22
Seurat,AverageExpression_logdata_layer,AverageExpression(layer=<copy of data layer under another name>) [mean of log1p(CP10k); no expm1 because layer name != 'data'],Hepatocyte,0.3362360992301112,19,22,0.0,B_cell 4/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6,58450,lognorm_mean,0.3362360992301112,19/22
Seurat,AverageExpression_returnseurat_data,AverageExpression(return.seurat=TRUE) data layer = log1p(mean(expm1(data))) [monotone transform of the CP10k mean],Hepatocyte,0.3009751924721984,19,22,0.0,B_cell 4/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6,58450,cpm_mean,0.3009751924721984,19/22
Seurat,manual_mean_of_data_layer,"rowMeans(LayerData(obj, layer='data')) per type [what DotPlot/DoHeatmap-style summaries use: mean of log values]",Hepatocyte,0.3362360992301112,19,22,0.0,B_cell 4/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6,58450,lognorm_mean,0.3362360992301112,19/22
Signac,AverageExpression_default_scalefactor_1e4,GeneActivity() -> NormalizeData(scale.factor=1e4) -> AverageExpression() [expm1 then mean],Hepatocyte,0.2568977033345322,18,21,0.0,B_cell 3/4; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6,19463,cpm_mean,0.3009751924721984,19/22
Signac,AverageExpression_default_scalefactor_median,"Signac vignette: GeneActivity() -> NormalizeData(LogNormalize, scale.factor=median(nCount_RNA)) -> AverageExpression() [expm1 then mean]",Hepatocyte,0.2568977033345322,18,21,0.0,B_cell 3/4; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6,19463,cpm_mean,0.3009751924721984,19/22
Signac,mean_of_counts,"GeneActivity() raw counts, mean per type",Endothelial_stromal,0.7237322098340441,15,21,0.0,B_cell 4/4; Hepatocyte 4/5; Macrophage 2/6; NK_cytotoxic_T 5/6,19463,raw_mean,0.6706415739948675,15/22
Signac,mean_of_data_layer_scalefactor_1e4,"GeneActivity() -> NormalizeData(scale.factor=1e4), mean of the log data layer per type",Hepatocyte,0.2792478035246364,18,21,0.0,B_cell 3/4; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6,19463,lognorm_mean,0.3362360992301112,19/22
Signac,mean_of_data_layer_scalefactor_median,"Signac vignette normalisation, then mean of the log data layer per type",Hepatocyte,0.2776036582232954,18,21,0.0,B_cell 3/4; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6,19463,lognorm_mean,0.3362360992301112,19/22
SnapATAC2,raw_mean,mean of make_gene_matrix counts per type,Endothelial_stromal,0.6706415739948675,15,22,0.0,B_cell 4/5; Hepatocyte 4/5; Macrophage 2/6; NK_cytotoxic_T 5/6,58450,raw_mean,0.6706415739948675,15/22
SnapATAC2,tutorial_normalize_total_median_log1p_mean,sc.pp.normalize_total() [target_sum=None=median]; sc.pp.log1p; mean per type,Hepatocyte,0.3344910179640719,19,22,0.0,B_cell 4/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6,58450,lognorm_mean,0.3362360992301112,19/22
SnapATAC2,normalize_total_1e4_log1p_mean,sc.pp.normalize_total(target_sum=1e4); sc.pp.log1p; mean per type,Hepatocyte,0.3362360992301112,19,22,0.0,B_cell 4/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6,58450,lognorm_mean,0.3362360992301112,19/22
SnapATAC2,cpm_mean_1e4,sc.pp.normalize_total(target_sum=1e4) then mean per type (no log),Hepatocyte,0.3009751924721984,19,22,0.0,B_cell 4/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6,58450,cpm_mean,0.3009751924721984,19/22
SnapATAC2,cpm_mean_median,sc.pp.normalize_total() [median target] then mean per type (no log),Hepatocyte,0.3009751924721984,19,22,0.0,B_cell 4/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6,58450,cpm_mean,0.3009751924721984,19/22
SnapATAC2,pseudobulk_cpm,sum per type then CPM,Hepatocyte,0.316475620188195,20,22,0.0,B_cell 5/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6,58450,pseudobulk_cpm,0.316475620188195,20/22
scanpy,sc.get.aggregate_mean,"sc.pp.normalize_total(1e4)+log1p; sc.get.aggregate(by='cell_type', func='mean')",Hepatocyte,0.3362360992301112,19,22,0.0,B_cell 4/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6,58450,lognorm_mean,0.3362360992301112,19/22
scanpy,obs_df_groupby_mean,sc.pp.normalize_total(1e4)+log1p; sc.get.obs_df().groupby('cell_type').mean(),Hepatocyte,0.3362360992301112,19,22,0.0,B_cell 4/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6,58450,lognorm_mean,0.3362360992301112,19/22
scanpy,paper_lognorm_mean,benchmark_aggregation.m_lognorm (re-implementation),Hepatocyte,0.3362360992301112,19,22,0.0,B_cell 4/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6,58450,lognorm_mean,0.3362360992301112,19/22
