gene,target,dotplot_color_argmax,dotplot_fraction_argmax,color_correct,fraction_correct
CD68,Macrophage,Macrophage,Macrophage,1,1
CSF1R,Macrophage,Macrophage,Macrophage,1,1
MRC1,Macrophage,Macrophage,Endothelial_stromal,1,0
MSR1,Macrophage,Macrophage,Macrophage,1,1
CD163,Macrophage,Macrophage,Hepatocyte,1,0
ITGAM,Macrophage,Macrophage,Macrophage,1,1
MS4A1,B_cell,B_cell,B_cell,1,1
CD79A,B_cell,B_cell,B_cell,1,1
CD79B,B_cell,B_cell,B_cell,1,1
CD19,B_cell,Macrophage,B_cell,0,1
BANK1,B_cell,B_cell,B_cell,1,1
CD3D,NK_cytotoxic_T,NK_cytotoxic_T,NK_cytotoxic_T,1,1
CD3E,NK_cytotoxic_T,NK_cytotoxic_T,NK_cytotoxic_T,1,1
CD8A,NK_cytotoxic_T,NK_cytotoxic_T,NK_cytotoxic_T,1,1
IL7R,NK_cytotoxic_T,CD4_T,CD4_T,0,0
NKG7,NK_cytotoxic_T,NK_cytotoxic_T,NK_cytotoxic_T,1,1
GNLY,NK_cytotoxic_T,NK_cytotoxic_T,NK_cytotoxic_T,1,1
ALB,Hepatocyte,Hepatocyte,Hepatocyte,1,1
APOB,Hepatocyte,Hepatocyte,Hepatocyte,1,1
HNF4A,Hepatocyte,Hepatocyte,Hepatocyte,1,1
TTR,Hepatocyte,Hepatocyte,Hepatocyte,1,1
APOA1,Hepatocyte,Endothelial_stromal,Endothelial_stromal,0,0
