layer,cell_type,median_true_depth,n_cells,n_returned,n_padj_lt_0_05,n_padj_lt_0_05_log2fc_gt_0_5,own_markers,own_in_list,own_in_list_padj,own_in_top50,own_ranks,foreign_in_list,foreign_in_top50,top10,rho_depth_n_returned,rho_depth_n_padj_lt_0_05,rho_depth_n_padj_lt_0_05_log2fc_gt_0_5
data,B_cell,8039.5,416,8187,2532,2247,5,5,5,1,MS4A1:32; CD79A:228; CD79B:631; CD19:1269; BANK1:273,2,0,"RP11-534L6.2,MIR339,RP11-1134I14.6,AC104024.1,U62631.5,DTNB-AS1,LL22NC03-30E12.13,LA16c-329F2.1,CH17-84K15.2,RP11-136K14.2",0.8285714285714287,0.8285714285714287,0.8857142857142858
data,CD4_T,6643.0,3305,5039,1074,531,0,0,0,0,,4,1,"RORA,BCL11B,BICDL1,ITK,RP11-36B6.2,PBX4,FYN,NCK2,RHOH,UBASH3A",0.8285714285714287,0.8285714285714287,0.8857142857142858
data,Endothelial_stromal,13435.0,1137,25285,18244,12142,0,0,0,0,,6,0,"COL4A1,ADAMTS9,PCDH17,ZNF521,FAT4,RP11-613D13.4,KIRREL1,ARHGAP29,IGFBP7,ADGRF5",0.8285714285714287,0.8285714285714287,0.8857142857142858
data,Hepatocyte,12522.0,1415,23356,16053,13076,5,4,4,2,ALB:442; APOB:41; HNF4A:33; TTR:1614; APOA1:absent,4,0,"MET,SYBU,EGFR,AGT,SLC30A10,HNF4G,KHDRBS3,RP11-99J16__A.2,SDC2,PROX1-AS1",0.8285714285714287,0.8285714285714287,0.8857142857142858
data,Macrophage,8737.0,2079,8345,5133,4098,6,6,6,1,CD68:170; CSF1R:8; MRC1:354; MSR1:140; CD163:1340; ITGAM:960,2,0,"RAB31,DAPK1,RBM47,FPR1,EPB41L3,FMNL2,FPR3,CSF1R,MS4A6E,SDS",0.8285714285714287,0.8285714285714287,0.8857142857142858
data,NK_cytotoxic_T,7835.0,3677,12124,9416,3504,6,6,6,0,CD3D:122; CD3E:571; CD8A:192; IL7R:1608; NKG7:210; GNLY:1388,2,0,"BCL11B,FYN,IKZF1,PTPRC,PRKCH,CD247,RUNX3,RP11-553L6.2,SCML4,PRKCQ",0.8285714285714287,0.8285714285714287,0.8857142857142858
reduced_counts,B_cell,8039.5,416,4121,1265,1133,5,5,5,2,MS4A1:14; CD79A:27; CD79B:318; CD19:757; BANK1:181,1,0,"BLK,P2RX1,CNR1,CCR6,CTD-2545M3.6,FCRLA,TNFRSF13C,PLCG2,PNOC,SPIB",0.6571428571428573,0.8285714285714287,0.7714285714285715
reduced_counts,CD4_T,6643.0,500,2051,141,85,0,0,0,0,,5,2,"BCL11B,CD28,UBASH3A,CD2,ICOS,RHOH,IL7R,PBX4,RUNX3,GRAP2",0.6571428571428573,0.8285714285714287,0.7714285714285715
reduced_counts,Endothelial_stromal,13435.0,500,6490,5550,2668,0,0,0,0,,5,0,"CLEC14A,PCDH17,IGFBP7,COL4A1,ADAMTS9,ADAMTS1,KDR,LDB2,SPARC,CDH5",0.6571428571428573,0.8285714285714287,0.7714285714285715
reduced_counts,Hepatocyte,12522.0,500,6022,3871,3201,5,4,4,2,ALB:411; APOB:24; HNF4A:33; TTR:1040; APOA1:absent,2,0,"AGT,GPT,TTPA,FOXA2,CYP3A43,UGT1A9,UGT1A6,UGT1A8,UGT1A10,AZGP1",0.6571428571428573,0.8285714285714287,0.7714285714285715
reduced_counts,Macrophage,8737.0,500,1313,584,579,6,6,6,2,CD68:42; CSF1R:9; MRC1:210; MSR1:191; CD163:546; ITGAM:326,1,0,"FPR3,FPR1,CD300LB,RAB31,EPB41L3,DAPK1,SDS,RBM47,CSF1R,MS4A7",0.6571428571428573,0.8285714285714287,0.7714285714285715
reduced_counts,NK_cytotoxic_T,7835.0,500,2979,963,920,6,6,5,1,CD3D:26; CD3E:138; CD8A:990; IL7R:66; NKG7:73; GNLY:824,1,0,"BCL11B,FYN,IKZF1,RUNX3,PTPRC,FYB1,PRKCQ,SCML4,CST7,RHOH",0.6571428571428573,0.8285714285714287,0.7714285714285715
reduced_data,B_cell,8039.5,416,3883,1280,1121,5,5,5,2,MS4A1:22; CD79A:41; CD79B:321; CD19:883; BANK1:146,1,0,"BLK,P2RX1,CNR1,PLCG2,CTD-2545M3.6,CCR6,FCRLA,TNFRSF13C,PNOC,SPIB",0.7714285714285715,0.7714285714285715,0.7142857142857143
reduced_data,CD4_T,6643.0,500,978,274,238,0,0,0,0,,6,1,"BCL11B,FYN,CD28,RORA,PRKCH,UBASH3A,PRKCQ,PBX4,RHOH,ITK",0.7714285714285715,0.7714285714285715,0.7142857142857143
reduced_data,Endothelial_stromal,13435.0,500,6401,4634,2644,0,0,0,0,,5,0,"CLEC14A,PCDH17,COL4A1,IGFBP7,KDR,ADAMTS9,ADAMTS1,SPARC,CDH5,LDB2",0.7714285714285715,0.7714285714285715,0.7142857142857143
reduced_data,Hepatocyte,12522.0,500,5853,3701,3196,5,4,4,2,ALB:405; APOB:21; HNF4A:34; TTR:967; APOA1:absent,2,0,"AGT,GPT,TTPA,FOXA2,CYP3A43,UGT1A9,UGT1A6,UGT1A8,MET,UGT1A10",0.7714285714285715,0.7714285714285715,0.7142857142857143
reduced_data,Macrophage,8737.0,500,1946,918,813,6,6,6,1,CD68:54; CSF1R:9; MRC1:253; MSR1:173; CD163:813; ITGAM:415,1,0,"FPR1,FPR3,RAB31,CD300LB,DAPK1,EPB41L3,RBM47,GAS7,CSF1R,SLC43A2",0.7714285714285715,0.7714285714285715,0.7142857142857143
reduced_data,NK_cytotoxic_T,7835.0,500,4460,1760,1370,6,6,6,1,CD3D:40; CD3E:230; CD8A:1329; IL7R:100; NKG7:123; GNLY:1403,1,0,"BCL11B,FYN,IKZF1,RUNX3,FYB1,PRKCQ,PTPRC,ITK,SCML4,CD247",0.7714285714285715,0.7714285714285715,0.7142857142857143
