path,gene,target,argmax,correct
seurat_profile_AggregateExpression_returnseurat_data,CD68,Macrophage,Macrophage,1
seurat_profile_AggregateExpression_returnseurat_data,CSF1R,Macrophage,Macrophage,1
seurat_profile_AggregateExpression_returnseurat_data,MRC1,Macrophage,Macrophage,1
seurat_profile_AggregateExpression_returnseurat_data,MSR1,Macrophage,Macrophage,1
seurat_profile_AggregateExpression_returnseurat_data,CD163,Macrophage,Macrophage,1
seurat_profile_AggregateExpression_returnseurat_data,ITGAM,Macrophage,Macrophage,1
seurat_profile_AggregateExpression_returnseurat_data,MS4A1,B_cell,B_cell,1
seurat_profile_AggregateExpression_returnseurat_data,CD79A,B_cell,B_cell,1
seurat_profile_AggregateExpression_returnseurat_data,CD79B,B_cell,B_cell,1
seurat_profile_AggregateExpression_returnseurat_data,CD19,B_cell,B_cell,1
seurat_profile_AggregateExpression_returnseurat_data,BANK1,B_cell,B_cell,1
seurat_profile_AggregateExpression_returnseurat_data,CD3D,NK_cytotoxic_T,NK_cytotoxic_T,1
seurat_profile_AggregateExpression_returnseurat_data,CD3E,NK_cytotoxic_T,NK_cytotoxic_T,1
seurat_profile_AggregateExpression_returnseurat_data,CD8A,NK_cytotoxic_T,NK_cytotoxic_T,1
seurat_profile_AggregateExpression_returnseurat_data,IL7R,NK_cytotoxic_T,CD4_T,0
seurat_profile_AggregateExpression_returnseurat_data,NKG7,NK_cytotoxic_T,NK_cytotoxic_T,1
seurat_profile_AggregateExpression_returnseurat_data,GNLY,NK_cytotoxic_T,NK_cytotoxic_T,1
seurat_profile_AggregateExpression_returnseurat_data,ALB,Hepatocyte,Hepatocyte,1
seurat_profile_AggregateExpression_returnseurat_data,APOB,Hepatocyte,Hepatocyte,1
seurat_profile_AggregateExpression_returnseurat_data,HNF4A,Hepatocyte,Hepatocyte,1
seurat_profile_AggregateExpression_returnseurat_data,TTR,Hepatocyte,Hepatocyte,1
seurat_profile_AggregateExpression_returnseurat_data,APOA1,Hepatocyte,Endothelial_stromal,0
seurat_profile_AggregateExpression_sum,CD68,Macrophage,Macrophage,1
seurat_profile_AggregateExpression_sum,CSF1R,Macrophage,Macrophage,1
seurat_profile_AggregateExpression_sum,MRC1,Macrophage,Macrophage,1
seurat_profile_AggregateExpression_sum,MSR1,Macrophage,Macrophage,1
seurat_profile_AggregateExpression_sum,CD163,Macrophage,Macrophage,1
seurat_profile_AggregateExpression_sum,ITGAM,Macrophage,Macrophage,1
seurat_profile_AggregateExpression_sum,MS4A1,B_cell,B_cell,1
seurat_profile_AggregateExpression_sum,CD79A,B_cell,NK_cytotoxic_T,0
seurat_profile_AggregateExpression_sum,CD79B,B_cell,NK_cytotoxic_T,0
seurat_profile_AggregateExpression_sum,CD19,B_cell,Macrophage,0
seurat_profile_AggregateExpression_sum,BANK1,B_cell,Endothelial_stromal,0
