tool,path,computes,n_genes_expressed,n_types,top_share,top_type,share_by_type,markers_correct,markers_total,perm_p,null_mean,null_95,per_lineage
Seurat,AggregateExpression_returnseurat_data,"AggregateExpression(return.seurat=TRUE) data layer = LogNormalize(sums, 1e4) [pseudobulk CPM, log]",58450,6,0.31647562018819503,Hepatocyte,B_cell 0.138; CD4_T 0.066; Endothelial_stromal 0.185; Hepatocyte 0.316; Macrophage 0.155; NK_cytotoxic_T 0.139,20,22,0.0,5.0689,8.0,B_cell 5/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6
Seurat,AggregateExpression_sum,AggregateExpression(group.by='cell_type') [sum of counts per type],58450,6,0.4102822925577417,NK_cytotoxic_T,B_cell 0.002; CD4_T 0.040; Endothelial_stromal 0.291; Hepatocyte 0.166; Macrophage 0.090; NK_cytotoxic_T 0.410,17,22,0.0,5.5112,9.0,B_cell 1/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 6/6
Seurat,AverageExpression_counts,"AverageExpression(group.by='cell_type', layer='counts') [mean of raw counts]",58450,6,0.6706415739948675,Endothelial_stromal,B_cell 0.130; CD4_T 0.004; Endothelial_stromal 0.671; Hepatocyte 0.151; Macrophage 0.026; NK_cytotoxic_T 0.019,15,22,0.0,4.196,7.0,B_cell 4/5; Hepatocyte 4/5; Macrophage 2/6; NK_cytotoxic_T 5/6
Seurat,AverageExpression_default,"NormalizeData() [LogNormalize, 1e4] -> AverageExpression(group.by='cell_type') [layer='data' default: expm1 then mean = CP10k mean]",58450,6,0.30097519247219845,Hepatocyte,B_cell 0.143; CD4_T 0.066; Endothelial_stromal 0.189; Hepatocyte 0.301; Macrophage 0.162; NK_cytotoxic_T 0.139,19,22,0.0,5.1094,8.0,B_cell 4/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6
Seurat,AverageExpression_logdata_layer,AverageExpression(layer=<copy of data layer under another name>) [mean of log1p(CP10k); no expm1 because layer name != 'data'],58450,6,0.3362360992301112,Hepatocyte,B_cell 0.136; CD4_T 0.029; Endothelial_stromal 0.223; Hepatocyte 0.336; Macrophage 0.129; NK_cytotoxic_T 0.147,19,22,0.0,5.1094,8.0,B_cell 4/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6
Seurat,AverageExpression_returnseurat_data,AverageExpression(return.seurat=TRUE) data layer = log1p(mean(expm1(data))) [monotone transform of the CP10k mean],58450,6,0.30097519247219845,Hepatocyte,B_cell 0.143; CD4_T 0.066; Endothelial_stromal 0.189; Hepatocyte 0.301; Macrophage 0.162; NK_cytotoxic_T 0.139,19,22,0.0,5.1094,8.0,B_cell 4/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6
Seurat,manual_mean_of_data_layer,"rowMeans(LayerData(obj, layer='data')) per type [what DotPlot/DoHeatmap-style summaries use: mean of log values]",58450,6,0.3362360992301112,Hepatocyte,B_cell 0.136; CD4_T 0.029; Endothelial_stromal 0.223; Hepatocyte 0.336; Macrophage 0.129; NK_cytotoxic_T 0.147,19,22,0.0,5.1094,8.0,B_cell 4/5; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6
Signac,AverageExpression_default_scalefactor_1e4,GeneActivity() -> NormalizeData(scale.factor=1e4) -> AverageExpression() [expm1 then mean],19463,6,0.2568977033345322,Hepatocyte,B_cell 0.163; CD4_T 0.071; Endothelial_stromal 0.162; Hepatocyte 0.257; Macrophage 0.131; NK_cytotoxic_T 0.216,18,21,0.0,4.9526,8.0,B_cell 3/4; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6
Signac,AverageExpression_default_scalefactor_median,"Signac vignette: GeneActivity() -> NormalizeData(LogNormalize, scale.factor=median(nCount_RNA)) -> AverageExpression() [expm1 then mean]",19463,6,0.2568977033345322,Hepatocyte,B_cell 0.163; CD4_T 0.071; Endothelial_stromal 0.162; Hepatocyte 0.257; Macrophage 0.131; NK_cytotoxic_T 0.216,18,21,0.0,4.9526,8.0,B_cell 3/4; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6
Signac,mean_of_counts,"GeneActivity() raw counts, mean per type",19463,6,0.7237322098340441,Endothelial_stromal,B_cell 0.147; CD4_T 0.002; Endothelial_stromal 0.724; Hepatocyte 0.094; Macrophage 0.016; NK_cytotoxic_T 0.017,15,21,0.0,4.14,7.0,B_cell 4/4; Hepatocyte 4/5; Macrophage 2/6; NK_cytotoxic_T 5/6
Signac,mean_of_data_layer_scalefactor_1e4,"GeneActivity() -> NormalizeData(scale.factor=1e4), mean of the log data layer per type",19463,6,0.27924780352463646,Hepatocyte,B_cell 0.165; CD4_T 0.018; Endothelial_stromal 0.203; Hepatocyte 0.279; Macrophage 0.092; NK_cytotoxic_T 0.242,18,21,0.0,4.9526,8.0,B_cell 3/4; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6
Signac,mean_of_data_layer_scalefactor_median,"Signac vignette normalisation, then mean of the log data layer per type",19463,6,0.27760365822329547,Hepatocyte,B_cell 0.163; CD4_T 0.024; Endothelial_stromal 0.190; Hepatocyte 0.278; Macrophage 0.100; NK_cytotoxic_T 0.245,18,21,0.0,4.9526,8.0,B_cell 3/4; Hepatocyte 4/5; Macrophage 6/6; NK_cytotoxic_T 5/6
