path,gene,target,argmax,correct
raw_mean,CD68,Macrophage,Macrophage,1
raw_mean,CSF1R,Macrophage,Macrophage,1
raw_mean,MRC1,Macrophage,Endothelial_stromal,0
raw_mean,MSR1,Macrophage,Endothelial_stromal,0
raw_mean,CD163,Macrophage,Hepatocyte,0
raw_mean,ITGAM,Macrophage,B_cell,0
raw_mean,MS4A1,B_cell,B_cell,1
raw_mean,CD79A,B_cell,B_cell,1
raw_mean,CD79B,B_cell,B_cell,1
raw_mean,CD19,B_cell,B_cell,1
raw_mean,BANK1,B_cell,Endothelial_stromal,0
raw_mean,CD3D,NK_cytotoxic_T,NK_cytotoxic_T,1
raw_mean,CD3E,NK_cytotoxic_T,NK_cytotoxic_T,1
raw_mean,CD8A,NK_cytotoxic_T,NK_cytotoxic_T,1
raw_mean,IL7R,NK_cytotoxic_T,CD4_T,0
raw_mean,NKG7,NK_cytotoxic_T,NK_cytotoxic_T,1
raw_mean,GNLY,NK_cytotoxic_T,NK_cytotoxic_T,1
raw_mean,ALB,Hepatocyte,Hepatocyte,1
raw_mean,APOB,Hepatocyte,Hepatocyte,1
raw_mean,HNF4A,Hepatocyte,Hepatocyte,1
raw_mean,TTR,Hepatocyte,Hepatocyte,1
raw_mean,APOA1,Hepatocyte,Endothelial_stromal,0
tutorial_normalize_total_median_log1p_mean,CD68,Macrophage,Macrophage,1
tutorial_normalize_total_median_log1p_mean,CSF1R,Macrophage,Macrophage,1
tutorial_normalize_total_median_log1p_mean,MRC1,Macrophage,Macrophage,1
tutorial_normalize_total_median_log1p_mean,MSR1,Macrophage,Macrophage,1
tutorial_normalize_total_median_log1p_mean,CD163,Macrophage,Macrophage,1
tutorial_normalize_total_median_log1p_mean,ITGAM,Macrophage,Macrophage,1
tutorial_normalize_total_median_log1p_mean,MS4A1,B_cell,B_cell,1
tutorial_normalize_total_median_log1p_mean,CD79A,B_cell,B_cell,1
tutorial_normalize_total_median_log1p_mean,CD79B,B_cell,B_cell,1
tutorial_normalize_total_median_log1p_mean,CD19,B_cell,Macrophage,0
tutorial_normalize_total_median_log1p_mean,BANK1,B_cell,B_cell,1
tutorial_normalize_total_median_log1p_mean,CD3D,NK_cytotoxic_T,NK_cytotoxic_T,1
tutorial_normalize_total_median_log1p_mean,CD3E,NK_cytotoxic_T,NK_cytotoxic_T,1
tutorial_normalize_total_median_log1p_mean,CD8A,NK_cytotoxic_T,NK_cytotoxic_T,1
tutorial_normalize_total_median_log1p_mean,IL7R,NK_cytotoxic_T,CD4_T,0
tutorial_normalize_total_median_log1p_mean,NKG7,NK_cytotoxic_T,NK_cytotoxic_T,1
tutorial_normalize_total_median_log1p_mean,GNLY,NK_cytotoxic_T,NK_cytotoxic_T,1
tutorial_normalize_total_median_log1p_mean,ALB,Hepatocyte,Hepatocyte,1
tutorial_normalize_total_median_log1p_mean,APOB,Hepatocyte,Hepatocyte,1
tutorial_normalize_total_median_log1p_mean,HNF4A,Hepatocyte,Hepatocyte,1
tutorial_normalize_total_median_log1p_mean,TTR,Hepatocyte,Hepatocyte,1
tutorial_normalize_total_median_log1p_mean,APOA1,Hepatocyte,Endothelial_stromal,0
normalize_total_1e4_log1p_mean,CD68,Macrophage,Macrophage,1
normalize_total_1e4_log1p_mean,CSF1R,Macrophage,Macrophage,1
normalize_total_1e4_log1p_mean,MRC1,Macrophage,Macrophage,1
normalize_total_1e4_log1p_mean,MSR1,Macrophage,Macrophage,1
normalize_total_1e4_log1p_mean,CD163,Macrophage,Macrophage,1
normalize_total_1e4_log1p_mean,ITGAM,Macrophage,Macrophage,1
normalize_total_1e4_log1p_mean,MS4A1,B_cell,B_cell,1
normalize_total_1e4_log1p_mean,CD79A,B_cell,B_cell,1
normalize_total_1e4_log1p_mean,CD79B,B_cell,B_cell,1
normalize_total_1e4_log1p_mean,CD19,B_cell,Macrophage,0
normalize_total_1e4_log1p_mean,BANK1,B_cell,B_cell,1
