12:56:39 total_rss_GB=24.22 n_jobs=3
12:56:49 total_rss_GB=29.55 n_jobs=3
12:56:59 total_rss_GB=31.48 n_jobs=3
12:57:09 total_rss_GB=32.10 n_jobs=3
12:58:27 total_rss_GB=3.83 max_single_GB=2.14 n_jobs=2
12:58:37 total_rss_GB=8.61 max_single_GB=4.56 n_jobs=2
12:58:47 total_rss_GB=11.71 max_single_GB=6.19 n_jobs=2
12:58:57 total_rss_GB=14.06 max_single_GB=10.87 n_jobs=2
12:59:07 total_rss_GB=16.13 max_single_GB=12.87 n_jobs=2
12:59:17 total_rss_GB=18.94 max_single_GB=13.94 n_jobs=2
12:59:27 total_rss_GB=21.15 max_single_GB=15.50 n_jobs=2
12:59:37 total_rss_GB=19.99 max_single_GB=16.93 n_jobs=2
12:59:47 total_rss_GB=19.85 max_single_GB=16.79 n_jobs=2
12:59:57 total_rss_GB=20.49 max_single_GB=16.49 n_jobs=2
13:00:07 total_rss_GB=16.19 max_single_GB=16.19 n_jobs=1
13:00:17 total_rss_GB=17.88 max_single_GB=15.65 n_jobs=2
13:00:27 total_rss_GB=17.35 max_single_GB=13.18 n_jobs=2
13:00:37 total_rss_GB=21.15 max_single_GB=16.38 n_jobs=2
13:00:47 total_rss_GB=23.09 max_single_GB=16.02 n_jobs=2
13:00:57 total_rss_GB=22.57 max_single_GB=15.74 n_jobs=2
13:01:07 total_rss_GB=20.83 max_single_GB=15.33 n_jobs=2
13:01:18 total_rss_GB=24.02 max_single_GB=16.94 n_jobs=2
13:01:28 total_rss_GB=20.02 max_single_GB=13.18 n_jobs=2
13:01:38 total_rss_GB=18.68 max_single_GB=13.18 n_jobs=2
13:01:48 total_rss_GB=18.68 max_single_GB=13.18 n_jobs=2
13:01:58 total_rss_GB=18.68 max_single_GB=13.18 n_jobs=2
13:02:08 total_rss_GB=18.68 max_single_GB=13.18 n_jobs=2
13:02:18 total_rss_GB=18.68 max_single_GB=13.18 n_jobs=2
13:02:28 total_rss_GB=18.68 max_single_GB=13.18 n_jobs=2
13:02:38 total_rss_GB=18.68 max_single_GB=13.18 n_jobs=2
13:03:14 total_rss_GB=18.68 max_single_GB=13.18 n_jobs=2
13:03:24 total_rss_GB=18.68 max_single_GB=13.18 n_jobs=2
13:03:34 total_rss_GB=18.68 max_single_GB=13.18 n_jobs=2
13:03:34 total_rss_GB=18.68 max_single_GB=13.18 n_jobs=2
13:03:44 total_rss_GB=18.68 max_single_GB=13.18 n_jobs=2
13:03:44 total_rss_GB=18.68 max_single_GB=13.18 n_jobs=2
13:03:54 total_rss_GB=18.68 max_single_GB=13.18 n_jobs=2
13:03:54 total_rss_GB=18.68 max_single_GB=13.18 n_jobs=2
13:04:04 total_rss_GB=18.68 max_single_GB=13.18 n_jobs=2
13:04:04 total_rss_GB=18.68 max_single_GB=13.18 n_jobs=2
13:04:14 total_rss_GB=18.68 max_single_GB=13.18 n_jobs=2
13:04:14 total_rss_GB=18.68 max_single_GB=13.18 n_jobs=2
13:04:24 total_rss_GB=18.68 max_single_GB=13.18 n_jobs=2
13:04:25 total_rss_GB=18.68 max_single_GB=13.18 n_jobs=2
13:04:34 total_rss_GB=18.68 max_single_GB=13.18 n_jobs=2
13:04:35 total_rss_GB=18.68 max_single_GB=13.18 n_jobs=2
13:04:44 total_rss_GB=18.68 max_single_GB=13.18 n_jobs=2
13:04:45 total_rss_GB=18.68 max_single_GB=13.18 n_jobs=2
13:04:54 total_rss_GB=18.68 max_single_GB=13.18 n_jobs=2
13:04:55 total_rss_GB=18.68 max_single_GB=13.18 n_jobs=2
13:05:04 total_rss_GB=18.68 max_single_GB=13.18 n_jobs=2
13:05:05 total_rss_GB=18.68 max_single_GB=13.18 n_jobs=2
13:05:14 total_rss_GB=18.68 max_single_GB=13.18 n_jobs=2
13:05:15 total_rss_GB=18.68 max_single_GB=13.18 n_jobs=2
13:05:24 total_rss_GB=18.68 max_single_GB=13.18 n_jobs=2
13:05:25 total_rss_GB=18.68 max_single_GB=13.18 n_jobs=2
13:05:35 total_rss_GB=18.68 max_single_GB=13.18 n_jobs=2
13:05:35 total_rss_GB=18.68 max_single_GB=13.18 n_jobs=2
13:05:45 total_rss_GB=13.57 max_single_GB=13.18 n_jobs=2
13:05:45 total_rss_GB=13.18 max_single_GB=13.18 n_jobs=1
13:05:55 total_rss_GB=15.81 max_single_GB=13.18 n_jobs=2
13:05:55 total_rss_GB=15.39 max_single_GB=13.18 n_jobs=2
13:06:05 total_rss_GB=17.66 max_single_GB=13.18 n_jobs=2
13:06:05 total_rss_GB=17.56 max_single_GB=13.18 n_jobs=2
13:06:15 total_rss_GB=18.05 max_single_GB=13.18 n_jobs=2
13:06:15 total_rss_GB=17.83 max_single_GB=13.18 n_jobs=2
13:06:25 total_rss_GB=20.85 max_single_GB=13.18 n_jobs=2
13:06:25 total_rss_GB=17.94 max_single_GB=13.18 n_jobs=2
13:06:35 total_rss_GB=15.38 max_single_GB=13.18 n_jobs=2
13:06:35 total_rss_GB=16.00 max_single_GB=13.18 n_jobs=2
13:06:45 total_rss_GB=17.83 max_single_GB=13.18 n_jobs=2
13:06:45 total_rss_GB=18.27 max_single_GB=13.18 n_jobs=2
13:06:55 total_rss_GB=17.83 max_single_GB=13.18 n_jobs=2
13:06:55 total_rss_GB=17.78 max_single_GB=13.18 n_jobs=2
13:07:05 total_rss_GB=15.75 max_single_GB=13.18 n_jobs=2
13:07:05 total_rss_GB=15.75 max_single_GB=13.18 n_jobs=2
13:07:15 total_rss_GB=16.82 max_single_GB=13.18 n_jobs=2
13:07:15 total_rss_GB=16.98 max_single_GB=13.18 n_jobs=2
13:07:25 total_rss_GB=13.18 max_single_GB=13.18 n_jobs=1
13:07:25 total_rss_GB=13.18 max_single_GB=13.18 n_jobs=1
13:07:35 total_rss_GB=13.91 max_single_GB=13.18 n_jobs=2
13:07:35 total_rss_GB=13.99 max_single_GB=13.18 n_jobs=2
13:07:45 total_rss_GB=17.07 max_single_GB=13.18 n_jobs=2
13:07:45 total_rss_GB=17.44 max_single_GB=13.18 n_jobs=2
13:07:55 total_rss_GB=18.03 max_single_GB=13.18 n_jobs=2
13:07:55 total_rss_GB=18.03 max_single_GB=13.18 n_jobs=2
13:08:05 total_rss_GB=17.99 max_single_GB=13.18 n_jobs=2
13:08:05 total_rss_GB=18.22 max_single_GB=13.18 n_jobs=2
13:08:15 total_rss_GB=18.05 max_single_GB=13.18 n_jobs=2
13:08:15 total_rss_GB=18.29 max_single_GB=13.18 n_jobs=2
13:08:25 total_rss_GB=17.11 max_single_GB=13.18 n_jobs=2
13:08:26 total_rss_GB=17.11 max_single_GB=13.18 n_jobs=2
13:08:35 total_rss_GB=17.11 max_single_GB=13.18 n_jobs=2
13:08:36 total_rss_GB=17.11 max_single_GB=13.18 n_jobs=2
13:08:45 total_rss_GB=17.11 max_single_GB=13.18 n_jobs=2
13:08:46 total_rss_GB=17.11 max_single_GB=13.18 n_jobs=2
13:08:55 total_rss_GB=17.11 max_single_GB=13.18 n_jobs=2
13:08:56 total_rss_GB=17.11 max_single_GB=13.18 n_jobs=2
13:09:05 total_rss_GB=17.11 max_single_GB=13.18 n_jobs=2
13:09:06 total_rss_GB=17.11 max_single_GB=13.18 n_jobs=2
13:09:16 total_rss_GB=17.11 max_single_GB=13.18 n_jobs=2
13:09:16 total_rss_GB=17.11 max_single_GB=13.18 n_jobs=2
13:09:26 total_rss_GB=17.11 max_single_GB=13.18 n_jobs=2
13:09:26 total_rss_GB=17.11 max_single_GB=13.18 n_jobs=2
13:09:36 total_rss_GB=17.11 max_single_GB=13.18 n_jobs=2
13:09:36 total_rss_GB=17.11 max_single_GB=13.18 n_jobs=2
13:09:46 total_rss_GB=17.11 max_single_GB=13.18 n_jobs=2
13:09:46 total_rss_GB=17.11 max_single_GB=13.18 n_jobs=2
13:09:56 total_rss_GB=17.11 max_single_GB=13.18 n_jobs=2
13:09:56 total_rss_GB=17.11 max_single_GB=13.18 n_jobs=2
13:10:06 total_rss_GB=17.11 max_single_GB=13.18 n_jobs=2
13:10:06 total_rss_GB=17.11 max_single_GB=13.18 n_jobs=2
13:10:16 total_rss_GB=17.11 max_single_GB=13.18 n_jobs=2
13:10:16 total_rss_GB=17.11 max_single_GB=13.18 n_jobs=2
13:10:26 total_rss_GB=17.11 max_single_GB=13.18 n_jobs=2
13:10:26 total_rss_GB=17.11 max_single_GB=13.18 n_jobs=2
13:10:36 total_rss_GB=17.11 max_single_GB=13.18 n_jobs=2
13:10:36 total_rss_GB=17.11 max_single_GB=13.18 n_jobs=2
13:10:46 total_rss_GB=17.11 max_single_GB=13.18 n_jobs=2
13:10:46 total_rss_GB=17.11 max_single_GB=13.18 n_jobs=2
13:10:56 total_rss_GB=17.11 max_single_GB=13.18 n_jobs=2
13:10:56 total_rss_GB=17.11 max_single_GB=13.18 n_jobs=2
13:11:06 total_rss_GB=17.11 max_single_GB=13.18 n_jobs=2
13:11:06 total_rss_GB=17.11 max_single_GB=13.18 n_jobs=2
13:11:16 total_rss_GB=17.11 max_single_GB=13.18 n_jobs=2
13:11:16 total_rss_GB=17.11 max_single_GB=13.18 n_jobs=2
13:11:26 total_rss_GB=3.93 max_single_GB=3.93 n_jobs=1
13:11:26 total_rss_GB=3.93 max_single_GB=3.93 n_jobs=1
13:11:36 total_rss_GB=5.26 max_single_GB=3.93 n_jobs=3
13:11:36 total_rss_GB=5.86 max_single_GB=3.93 n_jobs=3
13:11:46 total_rss_GB=7.08 max_single_GB=4.05 n_jobs=2
13:11:46 total_rss_GB=7.18 max_single_GB=4.05 n_jobs=2
13:11:56 total_rss_GB=9.25 max_single_GB=4.45 n_jobs=3
13:11:56 total_rss_GB=9.69 max_single_GB=4.60 n_jobs=3
13:12:06 total_rss_GB=15.95 max_single_GB=8.58 n_jobs=3
13:12:07 total_rss_GB=15.57 max_single_GB=8.50 n_jobs=3
13:12:16 total_rss_GB=17.55 max_single_GB=8.82 n_jobs=3
