model,panel,gene,argmax_label
proximal,endothelial,PECAM1,B_cell
proximal,endothelial,VWF,B_cell
proximal,endothelial,CDH5,B_cell
proximal,endothelial,KDR,B_cell
proximal,endothelial,CLDN5,B_cell
proximal,endothelial,FLT1,B_cell
proximal,endothelial,ENG,B_cell
proximal,endothelial,TEK,B_cell
proximal,endothelial,ERG,B_cell
proximal,endothelial,EMCN,B_cell
proximal,endothelial,PLVAP,B_cell
proximal,endothelial,ESAM,B_cell
proximal,stromal,COL1A2,B_cell
proximal,stromal,COL3A1,B_cell
proximal,stromal,DCN,B_cell
proximal,stromal,PDGFRB,B_cell
proximal,stromal,RGS5,B_cell
proximal,stromal,COL6A3,Hepatocyte
proximal,stromal,FBLN1,Hepatocyte
proximal,stromal,THY1,B_cell
proximal,B_heldout,PAX5,DC
proximal,B_heldout,EBF1,DC
proximal,B_heldout,BLK,DC
proximal,B_heldout,CD22,DC
proximal,B_heldout,FCRL1,DC
proximal,B_heldout,TNFRSF13C,DC
proximal,B_heldout,VPREB3,DC
proximal,B_heldout,FCRLA,DC
proximal,plasma,JCHAIN,DC
proximal,plasma,MZB1,DC
proximal,plasma,IGHG1,DC
proximal,plasma,TNFRSF17,DC
proximal,plasma,IGKC,DC
proximal,plasma,DERL3,DC
proximal,DC_bonafide,CLEC9A,Macrophage
proximal,DC_bonafide,XCR1,CD4_T
proximal,DC_bonafide,CD1C,Macrophage
proximal,DC_bonafide,FCER1A,B_cell
proximal,DC_bonafide,CLEC10A,Macrophage
proximal,DC_bonafide,LAMP3,Macrophage
proximal,DC_bonafide,ITGAX,Macrophage
proximal,DC_bonafide,ZBTB46,Macrophage
proximal,DC_bonafide,FLT3,DC
proximal,DC_bonafide,IRF8,DC
proximal,hepatocyte,ALB,Hepatocyte
proximal,hepatocyte,APOB,Hepatocyte
proximal,hepatocyte,HNF4A,Hepatocyte
proximal,hepatocyte,TTR,Hepatocyte
proximal,hepatocyte,APOA1,B_cell
proximal,macrophage,CD68,Macrophage
proximal,macrophage,CSF1R,Macrophage
proximal,macrophage,MRC1,Macrophage
proximal,macrophage,MSR1,Macrophage
proximal,macrophage,CD163,Macrophage
proximal,macrophage,ITGAM,Macrophage
proximal,T_NK,CD3D,NK_cytotoxic_T
proximal,T_NK,CD3E,NK_cytotoxic_T
proximal,T_NK,CD8A,NK_cytotoxic_T
proximal,T_NK,IL7R,CD4_T
proximal,T_NK,NKG7,NK_cytotoxic_T
proximal,T_NK,GNLY,NK_cytotoxic_T
enhancer,endothelial,PECAM1,B_cell
enhancer,endothelial,VWF,B_cell
enhancer,endothelial,CDH5,B_cell
enhancer,endothelial,KDR,B_cell
enhancer,endothelial,CLDN5,B_cell
enhancer,endothelial,FLT1,B_cell
enhancer,endothelial,ENG,B_cell
enhancer,endothelial,TEK,B_cell
enhancer,endothelial,ERG,B_cell
enhancer,endothelial,EMCN,B_cell
enhancer,endothelial,PLVAP,B_cell
enhancer,endothelial,ESAM,B_cell
enhancer,stromal,COL1A2,B_cell
enhancer,stromal,COL3A1,B_cell
enhancer,stromal,DCN,B_cell
enhancer,stromal,PDGFRB,B_cell
enhancer,stromal,RGS5,B_cell
enhancer,stromal,COL6A3,Hepatocyte
enhancer,stromal,FBLN1,Hepatocyte
enhancer,stromal,THY1,B_cell
enhancer,B_heldout,PAX5,DC
enhancer,B_heldout,EBF1,DC
enhancer,B_heldout,BLK,DC
enhancer,B_heldout,CD22,DC
enhancer,B_heldout,FCRL1,DC
enhancer,B_heldout,TNFRSF13C,DC
enhancer,B_heldout,VPREB3,DC
enhancer,B_heldout,FCRLA,DC
enhancer,plasma,JCHAIN,DC
enhancer,plasma,MZB1,DC
enhancer,plasma,TNFRSF17,DC
enhancer,plasma,DERL3,DC
enhancer,DC_bonafide,CLEC9A,Macrophage
enhancer,DC_bonafide,XCR1,Macrophage
enhancer,DC_bonafide,CD1C,Macrophage
enhancer,DC_bonafide,FCER1A,Macrophage
enhancer,DC_bonafide,CLEC10A,Macrophage
enhancer,DC_bonafide,LAMP3,Macrophage
enhancer,DC_bonafide,ITGAX,Macrophage
enhancer,DC_bonafide,ZBTB46,Macrophage
enhancer,DC_bonafide,FLT3,DC
enhancer,DC_bonafide,IRF8,DC
enhancer,hepatocyte,ALB,Hepatocyte
enhancer,hepatocyte,APOB,Hepatocyte
enhancer,hepatocyte,HNF4A,Hepatocyte
enhancer,hepatocyte,TTR,Hepatocyte
enhancer,hepatocyte,APOA1,Hepatocyte
enhancer,macrophage,CD68,Macrophage
enhancer,macrophage,CSF1R,Macrophage
enhancer,macrophage,MRC1,Macrophage
enhancer,macrophage,MSR1,Macrophage
enhancer,macrophage,CD163,Macrophage
enhancer,macrophage,ITGAM,Macrophage
enhancer,T_NK,CD3D,NK_cytotoxic_T
enhancer,T_NK,CD3E,NK_cytotoxic_T
enhancer,T_NK,CD8A,NK_cytotoxic_T
enhancer,T_NK,IL7R,CD4_T
enhancer,T_NK,NKG7,NK_cytotoxic_T
enhancer,T_NK,GNLY,NK_cytotoxic_T
