gene,argmax_cell_type,argmax_after_unshift
A2M,B_cell,B_cell
ABCA1,Mast,Mast
ABCA8,Mast,Mast
ABHD11,Mast,Mast
ABL2,Mast,Mast
ABRACL,Mast,Mast
ACAA2,Mast,Mast
ACAP1,B_cell,B_cell
ACOT7,Mast,Mast
ACP1,Mast,Mast
ACP5,B_cell,B_cell
ACSL1,Mast,Mast
ACSL4,Mast,Mast
ACSL5,Mast,Mast
ACTA2,Mast,Mast
ACTB,Mast,Mast
ACTG1,Mast,Mast
ACTN1,Mast,Mast
ACTN4,Mast,Mast
ACTR2,Mast,Mast
ACTR3,Mast,Mast
ACVRL1,Mast,Mast
ADAMDEC1,B_cell,B_cell
ADAMTS1,Mast,Mast
ADAMTS4,Mast,Mast
ADCYAP1,Mast,Mast
ADD3,Mast,Mast
ADH1B,Mast,Mast
ADH5,Mast,Mast
ADI1,Mast,Mast
ADIRF,Mast,Mast
ADM,Mast,Mast
ADRB2,Mast,Mast
ADRM1,Mast,Mast
AEBP1,Mast,Mast
AGPAT2,Mast,Mast
AGR2,Mast,Mast
AGR3,Mast,Mast
AHCY,Mast,Mast
AHNAK,Mast,Mast
AHR,Mast,Mast
AIF1,Mast,Mast
AK1,Mast,Mast
AKAP12,Mast,Mast
AKAP13,Mast,Mast
ALDH1A1,Mast,Mast
ALDH2,Mast,Mast
ALDOA,Mast,Mast
ALG13,Mast,Mast
ALKBH7,Mast,Mast
ALOX5,Mast,Mast
ALOX5AP,Mast,Mast
ANAPC11,Mast,Mast
ANAPC16,Mast,Mast
ANGPTL2,Mast,Mast
ANKRD10,Mast,Mast
ANKRD12,Mast,Mast
ANKRD28,Mast,Mast
ANP32B,Mast,Mast
ANTXR1,Mast,Mast
ANXA1,Mast,Mast
ANXA11,Mast,Mast
ANXA2,Mast,Mast
ANXA3,Mast,Mast
ANXA4,Mast,Mast
ANXA5,Mast,Mast
ANXA6,B_cell,B_cell
AP1M2,Mast,Mast
AP1S1,Mast,Mast
AP1S2,Mast,Mast
AP2M1,Mast,Mast
AP2S1,Mast,Mast
APLP2,Mast,Mast
APOC1,Mast,Mast
APOD,Mast,Mast
APOE,Mast,Mast
APP,Mast,Mast
APRT,Mast,Mast
AQP9,B_cell,B_cell
AREG,Mast,Mast
ARF1,Mast,Mast
ARF4,Mast,Mast
ARF5,Mast,Mast
ARF6,Mast,Mast
ARGLU1,Mast,Mast
ARHGAP18,Mast,Mast
ARHGAP29,Mast,Mast
ARHGDIB,B_cell,B_cell
ARID4B,Mast,Mast
ARID5A,Mast,Mast
ARID5B,Mast,Mast
ARL14,Mast,Mast
ARL2,Mast,Mast
ARL4C,B_cell,B_cell
ARL6IP4,Mast,Mast
ARL6IP5,Mast,Mast
ARL8B,Mast,Mast
ARPC1A,Mast,Mast
ARPC1B,Mast,Mast
ARPC2,Mast,Mast
ARPC3,Mast,Mast
ARPC4,Mast,Mast
ARPC5,Mast,Mast
ARPC5L,Mast,Mast
ARRB2,Mast,Mast
ASAH1,Mast,Mast
ASCL2,Mast,Mast
ASPH,Mast,Mast
ASS1,Mast,Mast
ATF3,Mast,Mast
ATF4,Mast,Mast
ATOX1,Mast,Mast
ATP13A3,Mast,Mast
ATP1A1,Mast,Mast
ATP1B1,Mast,Mast
ATP1B3,Mast,Mast
ATP2B1,Mast,Mast
ATP6AP1,Mast,Mast
ATP6AP2,Mast,Mast
ATP6V0B,Mast,Mast
ATP6V0E1,Mast,Mast
ATP6V1B2,Mast,Mast
ATP6V1F,Mast,Mast
ATP6V1G1,Mast,Mast
ATRAID,Mast,Mast
AURKAIP1,Mast,Mast
AXL,Mast,Mast
B2M,Mast,Mast
B4GALT5,Mast,Mast
BACE2,Mast,Mast
BAG1,Mast,Mast
BAG3,Mast,Mast
BANF1,Mast,Mast
BANK1,Mast,Mast
BASP1,Mast,Mast
BATF,B_cell,B_cell
BAX,Mast,Mast
BCAM,Mast,Mast
BCAP31,Mast,Mast
BCAS2,Mast,Mast
BCL2A1,B_cell,B_cell
BGN,Mast,Mast
BHLHE40,Mast,Mast
BID,B_cell,B_cell
BIK,Mast,Mast
BIRC3,Mast,Mast
BLOC1S1,Mast,Mast
BLVRB,Mast,Mast
BNIP3L,Mast,Mast
BOLA3,Mast,Mast
BRI3,Mast,Mast
BRK1,Mast,Mast
BSG,Mast,Mast
BST2,B_cell,B_cell
BTF3,Mast,Mast
BTG1,Mast,Mast
BTG2,Mast,Mast
BTK,Epithelial,Epithelial
BUD31,Mast,Mast
BZW1,Mast,Mast
BZW2,Mast,Mast
C10orf99,Mast,Mast
C11orf58,Mast,Mast
C11orf96,Mast,Mast
C12orf57,Mast,Mast
C12orf75,Mast,Mast
C15orf48,Mast,Mast
C19orf33,Mast,Mast
C19orf53,Mast,Mast
C1QA,Macrophage,Macrophage
C1QB,Macrophage,Macrophage
C1QBP,Mast,Mast
C1QC,Macrophage,Macrophage
C1R,Mast,Mast
C1S,Mast,Mast
C1orf122,Mast,Mast
C1orf162,B_cell,B_cell
C1orf43,Mast,Mast
C1orf54,Mast,Mast
C20orf27,Mast,Mast
C3,Mast,Mast
C4orf3,Mast,Mast
C4orf48,Mast,Mast
C5AR1,Mast,Mast
C6orf132,Mast,Mast
C9orf16,Mast,Mast
CACYBP,Mast,Mast
CALD1,Mast,Mast
CALM1,Mast,Mast
